"Odseljeni prebivalci, stari 15 ali veè let, po izobrazbi, državi prihodnjega prebivališèa, spolu in državljanstvu, Slovenija, letno"

"LETO";"DRŽAVA PRIHODNJEGA PREBIVALIŠÈA";"DRŽAVLJANSTVO";"SPOL";"IZOBRAZBA";Odseljeni prebivalci, stari 15 ali veè let
"2011";"....Bolgarija";"Državljani RS";"Moški";"Višješolska, visokošolska";0
"2011";"....Bolgarija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";1
"2011";"....Bolgarija";"Državljani RS";"Ženske";"Srednješolska";1
"2011";"....Bolgarija";"Državljani RS";"Ženske";"Višješolska, visokošolska";0
"2011";"....Francija";"Državljani RS";"Moški";"Osnovnošolska ali manj";8
"2011";"....Francija";"Državljani RS";"Moški";"Srednješolska";15
"2011";"....Francija";"Državljani RS";"Moški";"Višješolska, visokošolska";9
"2011";"....Francija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";4
"2011";"....Francija";"Državljani RS";"Ženske";"Srednješolska";11
"2011";"....Francija";"Državljani RS";"Ženske";"Višješolska, visokošolska";14
"2011";"....Hrvaška";"Državljani RS";"Moški";"Osnovnošolska ali manj";65
"2011";"....Hrvaška";"Državljani RS";"Moški";"Srednješolska";151
"2011";"....Hrvaška";"Državljani RS";"Moški";"Višješolska, visokošolska";37
"2011";"....Hrvaška";"Državljani RS";"Ženske";"Osnovnošolska ali manj";73
"2011";"....Hrvaška";"Državljani RS";"Ženske";"Srednješolska";80
"2011";"....Hrvaška";"Državljani RS";"Ženske";"Višješolska, visokošolska";29
"2011";"....Italija";"Državljani RS";"Moški";"Osnovnošolska ali manj";35
"2011";"....Italija";"Državljani RS";"Moški";"Srednješolska";55
"2011";"....Italija";"Državljani RS";"Moški";"Višješolska, visokošolska";12
"2011";"....Italija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";40
"2011";"....Italija";"Državljani RS";"Ženske";"Srednješolska";59
"2011";"....Italija";"Državljani RS";"Ženske";"Višješolska, visokošolska";30
"2011";"....Nemèija";"Državljani RS";"Moški";"Osnovnošolska ali manj";131
"2011";"....Nemèija";"Državljani RS";"Moški";"Srednješolska";289
"2011";"....Nemèija";"Državljani RS";"Moški";"Višješolska, visokošolska";69
"2011";"....Nemèija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";154
"2011";"....Nemèija";"Državljani RS";"Ženske";"Srednješolska";214
"2011";"....Nemèija";"Državljani RS";"Ženske";"Višješolska, visokošolska";104
"2011";"....Slovaška";"Državljani RS";"Moški";"Osnovnošolska ali manj";2
"2011";"....Slovaška";"Državljani RS";"Moški";"Srednješolska";2
"2011";"....Slovaška";"Državljani RS";"Moški";"Višješolska, visokošolska";4
"2011";"....Slovaška";"Državljani RS";"Ženske";"Osnovnošolska ali manj";1
"2011";"....Slovaška";"Državljani RS";"Ženske";"Srednješolska";0
"2011";"....Slovaška";"Državljani RS";"Ženske";"Višješolska, visokošolska";0
"2011";"....Združeno kraljestvo";"Državljani RS";"Moški";"Osnovnošolska ali manj";7
"2011";"....Združeno kraljestvo";"Državljani RS";"Moški";"Srednješolska";32
"2011";"....Združeno kraljestvo";"Državljani RS";"Moški";"Višješolska, visokošolska";17
"2011";"....Združeno kraljestvo";"Državljani RS";"Ženske";"Osnovnošolska ali manj";7
"2011";"....Združeno kraljestvo";"Državljani RS";"Ženske";"Srednješolska";36
"2011";"....Združeno kraljestvo";"Državljani RS";"Ženske";"Višješolska, visokošolska";40
"2011";"....ostale države èlanice EU";"Državljani RS";"Moški";"Osnovnošolska ali manj";44
"2011";"....ostale države èlanice EU";"Državljani RS";"Moški";"Srednješolska";100
"2011";"....ostale države èlanice EU";"Državljani RS";"Moški";"Višješolska, visokošolska";63
"2011";"....ostale države èlanice EU";"Državljani RS";"Ženske";"Osnovnošolska ali manj";22
"2011";"....ostale države èlanice EU";"Državljani RS";"Ženske";"Srednješolska";84
"2011";"....ostale države èlanice EU";"Državljani RS";"Ženske";"Višješolska, visokošolska";102
"2011";"- Druge evropske države - SKUPAJ";"Državljani RS";"Moški";"Osnovnošolska ali manj";36
"2011";"- Druge evropske države - SKUPAJ";"Državljani RS";"Moški";"Srednješolska";69
"2011";"- Druge evropske države - SKUPAJ";"Državljani RS";"Moški";"Višješolska, visokošolska";30
"2011";"- Druge evropske države - SKUPAJ";"Državljani RS";"Ženske";"Osnovnošolska ali manj";26
"2011";"- Druge evropske države - SKUPAJ";"Državljani RS";"Ženske";"Srednješolska";50
"2011";"- Druge evropske države - SKUPAJ";"Državljani RS";"Ženske";"Višješolska, visokošolska";30
"2011";"....Ruska federacija";"Državljani RS";"Moški";"Osnovnošolska ali manj";2
"2011";"....Ruska federacija";"Državljani RS";"Moški";"Srednješolska";6
"2011";"....Ruska federacija";"Državljani RS";"Moški";"Višješolska, visokošolska";3
"2011";"....Ruska federacija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";0
"2011";"....Ruska federacija";"Državljani RS";"Ženske";"Srednješolska";1
"2011";"....Ruska federacija";"Državljani RS";"Ženske";"Višješolska, visokošolska";1
"2011";"....Švica";"Državljani RS";"Moški";"Osnovnošolska ali manj";28
"2011";"....Švica";"Državljani RS";"Moški";"Srednješolska";47
"2011";"....Švica";"Državljani RS";"Moški";"Višješolska, visokošolska";23
"2011";"....Švica";"Državljani RS";"Ženske";"Osnovnošolska ali manj";24
"2011";"....Švica";"Državljani RS";"Ženske";"Srednješolska";45
"2011";"....Švica";"Državljani RS";"Ženske";"Višješolska, visokošolska";26
"2011";"....Ukrajina";"Državljani RS";"Moški";"Osnovnošolska ali manj";2
"2011";"....Ukrajina";"Državljani RS";"Moški";"Srednješolska";8
"2011";"....Ukrajina";"Državljani RS";"Moški";"Višješolska, visokošolska";1
"2011";"....Ukrajina";"Državljani RS";"Ženske";"Osnovnošolska ali manj";0
"2011";"....Ukrajina";"Državljani RS";"Ženske";"Srednješolska";0
"2011";"....Ukrajina";"Državljani RS";"Ženske";"Višješolska, visokošolska";1
"2011";"....ostale evropske države";"Državljani RS";"Moški";"Osnovnošolska ali manj";4
"2011";"....ostale evropske države";"Državljani RS";"Moški";"Srednješolska";8
"2011";"....ostale evropske države";"Državljani RS";"Moški";"Višješolska, visokošolska";3
"2011";"....ostale evropske države";"Državljani RS";"Ženske";"Osnovnošolska ali manj";2
"2011";"....ostale evropske države";"Državljani RS";"Ženske";"Srednješolska";4
"2011";"....ostale evropske države";"Državljani RS";"Ženske";"Višješolska, visokošolska";2
"2011";"AFRIKA";"Državljani RS";"Moški";"Osnovnošolska ali manj";2
"2011";"AFRIKA";"Državljani RS";"Moški";"Srednješolska";14
"2011";"AFRIKA";"Državljani RS";"Moški";"Višješolska, visokošolska";0
"2011";"AFRIKA";"Državljani RS";"Ženske";"Osnovnošolska ali manj";3
"2011";"AFRIKA";"Državljani RS";"Ženske";"Srednješolska";1
"2011";"AFRIKA";"Državljani RS";"Ženske";"Višješolska, visokošolska";7
"2011";"AZIJA";"Državljani RS";"Moški";"Osnovnošolska ali manj";5
"2011";"AZIJA";"Državljani RS";"Moški";"Srednješolska";13
"2011";"AZIJA";"Državljani RS";"Moški";"Višješolska, visokošolska";16
"2011";"AZIJA";"Državljani RS";"Ženske";"Osnovnošolska ali manj";2
"2011";"AZIJA";"Državljani RS";"Ženske";"Srednješolska";9
"2011";"AZIJA";"Državljani RS";"Ženske";"Višješolska, visokošolska";17
"2011";"SEVERNA IN SREDNJA AMERIKA";"Državljani RS";"Moški";"Osnovnošolska ali manj";24
"2011";"SEVERNA IN SREDNJA AMERIKA";"Državljani RS";"Moški";"Srednješolska";79
"2011";"SEVERNA IN SREDNJA AMERIKA";"Državljani RS";"Moški";"Višješolska, visokošolska";31
"2011";"SEVERNA IN SREDNJA AMERIKA";"Državljani RS";"Ženske";"Osnovnošolska ali manj";16
"2011";"SEVERNA IN SREDNJA AMERIKA";"Državljani RS";"Ženske";"Srednješolska";46
"2011";"SEVERNA IN SREDNJA AMERIKA";"Državljani RS";"Ženske";"Višješolska, visokošolska";36
"2011";"JUŽNA AMERIKA";"Državljani RS";"Moški";"Osnovnošolska ali manj";4
"2011";"JUŽNA AMERIKA";"Državljani RS";"Moški";"Srednješolska";7
"2011";"JUŽNA AMERIKA";"Državljani RS";"Moški";"Višješolska, visokošolska";3
"2011";"JUŽNA AMERIKA";"Državljani RS";"Ženske";"Osnovnošolska ali manj";1
"2011";"JUŽNA AMERIKA";"Državljani RS";"Ženske";"Srednješolska";3
"2011";"JUŽNA AMERIKA";"Državljani RS";"Ženske";"Višješolska, visokošolska";4
"2011";"AVSTRALIJA IN OCEANIJA";"Državljani RS";"Moški";"Osnovnošolska ali manj";16
"2011";"AVSTRALIJA IN OCEANIJA";"Državljani RS";"Moški";"Srednješolska";41
"2011";"AVSTRALIJA IN OCEANIJA";"Državljani RS";"Moški";"Višješolska, visokošolska";14
"2011";"AVSTRALIJA IN OCEANIJA";"Državljani RS";"Ženske";"Osnovnošolska ali manj";19
"2011";"AVSTRALIJA IN OCEANIJA";"Državljani RS";"Ženske";"Srednješolska";30
"2011";"AVSTRALIJA IN OCEANIJA";"Državljani RS";"Ženske";"Višješolska, visokošolska";30
"2012";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Moški";"Osnovnošolska ali manj";996
"2012";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Moški";"Srednješolska";1980
"2012";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Moški";"Višješolska, visokošolska";705
"2012";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Ženske";"Osnovnošolska ali manj";985
"2012";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Ženske";"Srednješolska";1618
"2012";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Ženske";"Višješolska, visokošolska";883
"2012";"EVROPA - SKUPAJ";"Državljani RS";"Moški";"Osnovnošolska ali manj";912
"2012";"EVROPA - SKUPAJ";"Državljani RS";"Moški";"Srednješolska";1772
"2012";"EVROPA - SKUPAJ";"Državljani RS";"Moški";"Višješolska, visokošolska";589
"2012";"EVROPA - SKUPAJ";"Državljani RS";"Ženske";"Osnovnošolska ali manj";889
"2012";"EVROPA - SKUPAJ";"Državljani RS";"Ženske";"Srednješolska";1446
"2012";"EVROPA - SKUPAJ";"Državljani RS";"Ženske";"Višješolska, visokošolska";754
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Moški";"Osnovnošolska ali manj";253
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Moški";"Srednješolska";412
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Moški";"Višješolska, visokošolska";110
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Ženske";"Osnovnošolska ali manj";221
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Ženske";"Srednješolska";307
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Ženske";"Višješolska, visokošolska";109
"2012";"....Bosna in Hercegovina";"Državljani RS";"Moški";"Osnovnošolska ali manj";64
"2012";"....Bosna in Hercegovina";"Državljani RS";"Moški";"Srednješolska";104
"2012";"....Bosna in Hercegovina";"Državljani RS";"Moški";"Višješolska, visokošolska";19
"2012";"....Bosna in Hercegovina";"Državljani RS";"Ženske";"Osnovnošolska ali manj";52
"2012";"....Bosna in Hercegovina";"Državljani RS";"Ženske";"Srednješolska";58
"2012";"....Bosna in Hercegovina";"Državljani RS";"Ženske";"Višješolska, visokošolska";16
"2012";"....Èrna gora";"Državljani RS";"Moški";"Osnovnošolska ali manj";5
"2012";"....Èrna gora";"Državljani RS";"Moški";"Srednješolska";14
"2012";"....Èrna gora";"Državljani RS";"Moški";"Višješolska, visokošolska";6
"2012";"....Èrna gora";"Državljani RS";"Ženske";"Osnovnošolska ali manj";6
"2012";"....Èrna gora";"Državljani RS";"Ženske";"Srednješolska";15
"2012";"....Èrna gora";"Državljani RS";"Ženske";"Višješolska, visokošolska";7
"2012";"....Kosovo";"Državljani RS";"Moški";"Osnovnošolska ali manj";21
"2012";"....Kosovo";"Državljani RS";"Moški";"Srednješolska";17
"2012";"....Kosovo";"Državljani RS";"Moški";"Višješolska, visokošolska";3
"2012";"....Kosovo";"Državljani RS";"Ženske";"Osnovnošolska ali manj";13
"2012";"....Kosovo";"Državljani RS";"Ženske";"Srednješolska";8
"2012";"....Kosovo";"Državljani RS";"Ženske";"Višješolska, visokošolska";4
"2012";"....Severna Makedonija";"Državljani RS";"Moški";"Osnovnošolska ali manj";18
"2012";"....Severna Makedonija";"Državljani RS";"Moški";"Srednješolska";21
"2012";"....Severna Makedonija";"Državljani RS";"Moški";"Višješolska, visokošolska";6
"2012";"....Severna Makedonija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";10
"2012";"....Severna Makedonija";"Državljani RS";"Ženske";"Srednješolska";10
"2012";"....Severna Makedonija";"Državljani RS";"Ženske";"Višješolska, visokošolska";4
"2012";"....Srbija";"Državljani RS";"Moški";"Osnovnošolska ali manj";51
"2012";"....Srbija";"Državljani RS";"Moški";"Srednješolska";102
"2012";"....Srbija";"Državljani RS";"Moški";"Višješolska, visokošolska";34
"2012";"....Srbija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";44
"2012";"....Srbija";"Državljani RS";"Ženske";"Srednješolska";68
"2012";"....Srbija";"Državljani RS";"Ženske";"Višješolska, visokošolska";29
"2012";"- Države EU - SKUPAJ";"Državljani RS";"Moški";"Osnovnošolska ali manj";577
"2012";"- Države EU - SKUPAJ";"Državljani RS";"Moški";"Srednješolska";1217
"2012";"- Države EU - SKUPAJ";"Državljani RS";"Moški";"Višješolska, visokošolska";426
"2012";"- Države EU - SKUPAJ";"Državljani RS";"Ženske";"Osnovnošolska ali manj";609
"2012";"- Države EU - SKUPAJ";"Državljani RS";"Ženske";"Srednješolska";1032
"2012";"- Države EU - SKUPAJ";"Državljani RS";"Ženske";"Višješolska, visokošolska";592
"2012";"....Avstrija";"Državljani RS";"Moški";"Osnovnošolska ali manj";156
"2012";"....Avstrija";"Državljani RS";"Moški";"Srednješolska";315
"2012";"....Avstrija";"Državljani RS";"Moški";"Višješolska, visokošolska";75
"2012";"....Avstrija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";147
"2012";"....Avstrija";"Državljani RS";"Ženske";"Srednješolska";238
"2012";"....Avstrija";"Državljani RS";"Ženske";"Višješolska, visokošolska";104
"2012";"....Bolgarija";"Državljani RS";"Moški";"Osnovnošolska ali manj";0
"2012";"....Bolgarija";"Državljani RS";"Moški";"Srednješolska";3
"2012";"....Bolgarija";"Državljani RS";"Moški";"Višješolska, visokošolska";1
"2012";"....Bolgarija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";0
"2012";"....Bolgarija";"Državljani RS";"Ženske";"Srednješolska";1
"2012";"....Bolgarija";"Državljani RS";"Ženske";"Višješolska, visokošolska";1
"2012";"....Francija";"Državljani RS";"Moški";"Osnovnošolska ali manj";15
"2012";"....Francija";"Državljani RS";"Moški";"Srednješolska";28
"2012";"....Francija";"Državljani RS";"Moški";"Višješolska, visokošolska";21
"2012";"....Francija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";12
"2012";"....Francija";"Državljani RS";"Ženske";"Srednješolska";27
"2012";"....Francija";"Državljani RS";"Ženske";"Višješolska, visokošolska";22
"2012";"....Hrvaška";"Državljani RS";"Moški";"Osnovnošolska ali manj";94
"2012";"....Hrvaška";"Državljani RS";"Moški";"Srednješolska";154
"2012";"....Hrvaška";"Državljani RS";"Moški";"Višješolska, visokošolska";42
"2012";"....Hrvaška";"Državljani RS";"Ženske";"Osnovnošolska ali manj";96
"2012";"....Hrvaška";"Državljani RS";"Ženske";"Srednješolska";148
"2012";"....Hrvaška";"Državljani RS";"Ženske";"Višješolska, visokošolska";49
"2012";"....Italija";"Državljani RS";"Moški";"Osnovnošolska ali manj";42
"2012";"....Italija";"Državljani RS";"Moški";"Srednješolska";71
"2012";"....Italija";"Državljani RS";"Moški";"Višješolska, visokošolska";25
"2012";"....Italija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";56
"2012";"....Italija";"Državljani RS";"Ženske";"Srednješolska";82
"2012";"....Italija";"Državljani RS";"Ženske";"Višješolska, visokošolska";43
"2012";"....Nemèija";"Državljani RS";"Moški";"Osnovnošolska ali manj";280
"2012";"....Nemèija";"Državljani RS";"Moški";"Srednješolska";559
"2012";"....Nemèija";"Državljani RS";"Moški";"Višješolska, visokošolska";161
"2012";"....Nemèija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";334
"2012";"....Nemèija";"Državljani RS";"Ženske";"Srednješolska";494
"2012";"....Nemèija";"Državljani RS";"Ženske";"Višješolska, visokošolska";218
"2012";"....Slovaška";"Državljani RS";"Moški";"Osnovnošolska ali manj";0
"2012";"....Slovaška";"Državljani RS";"Moški";"Srednješolska";2
"2012";"....Slovaška";"Državljani RS";"Moški";"Višješolska, visokošolska";2
"2012";"....Slovaška";"Državljani RS";"Ženske";"Osnovnošolska ali manj";1
"2012";"....Slovaška";"Državljani RS";"Ženske";"Srednješolska";2
"2012";"....Slovaška";"Državljani RS";"Ženske";"Višješolska, visokošolska";1
"2012";"....Združeno kraljestvo";"Državljani RS";"Moški";"Osnovnošolska ali manj";17
"2012";"....Združeno kraljestvo";"Državljani RS";"Moški";"Srednješolska";64
"2012";"....Združeno kraljestvo";"Državljani RS";"Moški";"Višješolska, visokošolska";46
"2012";"....Združeno kraljestvo";"Državljani RS";"Ženske";"Osnovnošolska ali manj";13
"2012";"....Združeno kraljestvo";"Državljani RS";"Ženske";"Srednješolska";55
"2012";"....Združeno kraljestvo";"Državljani RS";"Ženske";"Višješolska, visokošolska";60
"2012";"....ostale države èlanice EU";"Državljani RS";"Moški";"Osnovnošolska ali manj";67
"2012";"....ostale države èlanice EU";"Državljani RS";"Moški";"Srednješolska";175
"2012";"....ostale države èlanice EU";"Državljani RS";"Moški";"Višješolska, visokošolska";95
"2012";"....ostale države èlanice EU";"Državljani RS";"Ženske";"Osnovnošolska ali manj";46
"2012";"....ostale države èlanice EU";"Državljani RS";"Ženske";"Srednješolska";133
"2012";"....ostale države èlanice EU";"Državljani RS";"Ženske";"Višješolska, visokošolska";143
"2012";"- Druge evropske države - SKUPAJ";"Državljani RS";"Moški";"Osnovnošolska ali manj";82
"2012";"- Druge evropske države - SKUPAJ";"Državljani RS";"Moški";"Srednješolska";143
"2012";"- Druge evropske države - SKUPAJ";"Državljani RS";"Moški";"Višješolska, visokošolska";53
"2012";"- Druge evropske države - SKUPAJ";"Državljani RS";"Ženske";"Osnovnošolska ali manj";59
"2012";"- Druge evropske države - SKUPAJ";"Državljani RS";"Ženske";"Srednješolska";107
"2012";"- Druge evropske države - SKUPAJ";"Državljani RS";"Ženske";"Višješolska, visokošolska";53
"2012";"....Ruska federacija";"Državljani RS";"Moški";"Osnovnošolska ali manj";1
"2012";"....Ruska federacija";"Državljani RS";"Moški";"Srednješolska";4
"2012";"....Ruska federacija";"Državljani RS";"Moški";"Višješolska, visokošolska";5
"2012";"....Ruska federacija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";0
"2012";"....Ruska federacija";"Državljani RS";"Ženske";"Srednješolska";1
"2012";"....Ruska federacija";"Državljani RS";"Ženske";"Višješolska, visokošolska";3
"2012";"....Švica";"Državljani RS";"Moški";"Osnovnošolska ali manj";73
"2012";"....Švica";"Državljani RS";"Moški";"Srednješolska";120
"2012";"....Švica";"Državljani RS";"Moški";"Višješolska, visokošolska";41
"2012";"....Švica";"Državljani RS";"Ženske";"Osnovnošolska ali manj";53
"2012";"....Švica";"Državljani RS";"Ženske";"Srednješolska";89
"2012";"....Švica";"Državljani RS";"Ženske";"Višješolska, visokošolska";48
"2012";"....Ukrajina";"Državljani RS";"Moški";"Osnovnošolska ali manj";1
"2012";"....Ukrajina";"Državljani RS";"Moški";"Srednješolska";3
"2012";"....Ukrajina";"Državljani RS";"Moški";"Višješolska, visokošolska";1
"2012";"....Ukrajina";"Državljani RS";"Ženske";"Osnovnošolska ali manj";0
"2012";"....Ukrajina";"Državljani RS";"Ženske";"Srednješolska";0
"2012";"....Ukrajina";"Državljani RS";"Ženske";"Višješolska, visokošolska";0
"2012";"....ostale evropske države";"Državljani RS";"Moški";"Osnovnošolska ali manj";7
"2012";"....ostale evropske države";"Državljani RS";"Moški";"Srednješolska";16
"2012";"....ostale evropske države";"Državljani RS";"Moški";"Višješolska, visokošolska";6
"2012";"....ostale evropske države";"Državljani RS";"Ženske";"Osnovnošolska ali manj";6
"2012";"....ostale evropske države";"Državljani RS";"Ženske";"Srednješolska";17
"2012";"....ostale evropske države";"Državljani RS";"Ženske";"Višješolska, visokošolska";2
"2012";"AFRIKA";"Državljani RS";"Moški";"Osnovnošolska ali manj";7
"2012";"AFRIKA";"Državljani RS";"Moški";"Srednješolska";7
"2012";"AFRIKA";"Državljani RS";"Moški";"Višješolska, visokošolska";7
"2012";"AFRIKA";"Državljani RS";"Ženske";"Osnovnošolska ali manj";4
"2012";"AFRIKA";"Državljani RS";"Ženske";"Srednješolska";5
"2012";"AFRIKA";"Državljani RS";"Ženske";"Višješolska, visokošolska";4
"2012";"AZIJA";"Državljani RS";"Moški";"Osnovnošolska ali manj";10
"2012";"AZIJA";"Državljani RS";"Moški";"Srednješolska";27
"2012";"AZIJA";"Državljani RS";"Moški";"Višješolska, visokošolska";29
"2012";"AZIJA";"Državljani RS";"Ženske";"Osnovnošolska ali manj";3
"2012";"AZIJA";"Državljani RS";"Ženske";"Srednješolska";17
"2012";"AZIJA";"Državljani RS";"Ženske";"Višješolska, visokošolska";26
