"Priseljeni prebivalci, stari 15 ali veè let, po izobrazbi, državljanstvu, državi prejšnjega prebivališèa in spolu, Slovenija, letno"

"LETO";"DRŽAVA PREJŠNJEGA PREBIVALIŠÈA";"DRŽAVLJANSTVO";"SPOL";"IZOBRAZBA";Priseljeni prebivalci, stari 15 ali veè let
"2011";"....Hrvaška";"Tuji državljani";"Moški";"Osnovnošolska ali manj";128
"2011";"....Hrvaška";"Tuji državljani";"Moški";"Srednješolska";364
"2011";"....Hrvaška";"Tuji državljani";"Moški";"Višješolska, visokošolska";50
"2011";"....Hrvaška";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";132
"2011";"....Hrvaška";"Tuji državljani";"Ženske";"Srednješolska";134
"2011";"....Hrvaška";"Tuji državljani";"Ženske";"Višješolska, visokošolska";65
"2011";"....Italija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";56
"2011";"....Italija";"Tuji državljani";"Moški";"Srednješolska";102
"2011";"....Italija";"Tuji državljani";"Moški";"Višješolska, visokošolska";26
"2011";"....Italija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";43
"2011";"....Italija";"Tuji državljani";"Ženske";"Srednješolska";36
"2011";"....Italija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";21
"2011";"....Nemèija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";38
"2011";"....Nemèija";"Tuji državljani";"Moški";"Srednješolska";44
"2011";"....Nemèija";"Tuji državljani";"Moški";"Višješolska, visokošolska";21
"2011";"....Nemèija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";30
"2011";"....Nemèija";"Tuji državljani";"Ženske";"Srednješolska";25
"2011";"....Nemèija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";16
"2011";"....Slovaška";"Tuji državljani";"Moški";"Osnovnošolska ali manj";30
"2011";"....Slovaška";"Tuji državljani";"Moški";"Srednješolska";36
"2011";"....Slovaška";"Tuji državljani";"Moški";"Višješolska, visokošolska";1
"2011";"....Slovaška";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";43
"2011";"....Slovaška";"Tuji državljani";"Ženske";"Srednješolska";30
"2011";"....Slovaška";"Tuji državljani";"Ženske";"Višješolska, visokošolska";10
"2011";"....Združeno kraljestvo";"Tuji državljani";"Moški";"Osnovnošolska ali manj";10
"2011";"....Združeno kraljestvo";"Tuji državljani";"Moški";"Srednješolska";19
"2011";"....Združeno kraljestvo";"Tuji državljani";"Moški";"Višješolska, visokošolska";9
"2011";"....Združeno kraljestvo";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";11
"2011";"....Združeno kraljestvo";"Tuji državljani";"Ženske";"Srednješolska";7
"2011";"....Združeno kraljestvo";"Tuji državljani";"Ženske";"Višješolska, visokošolska";6
"2011";"....ostale države èlanice EU";"Tuji državljani";"Moški";"Osnovnošolska ali manj";79
"2011";"....ostale države èlanice EU";"Tuji državljani";"Moški";"Srednješolska";72
"2011";"....ostale države èlanice EU";"Tuji državljani";"Moški";"Višješolska, visokošolska";60
"2011";"....ostale države èlanice EU";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";61
"2011";"....ostale države èlanice EU";"Tuji državljani";"Ženske";"Srednješolska";45
"2011";"....ostale države èlanice EU";"Tuji državljani";"Ženske";"Višješolska, visokošolska";58
"2011";"- Druge evropske države";"Tuji državljani";"Moški";"Osnovnošolska ali manj";26
"2011";"- Druge evropske države";"Tuji državljani";"Moški";"Srednješolska";33
"2011";"- Druge evropske države";"Tuji državljani";"Moški";"Višješolska, visokošolska";53
"2011";"- Druge evropske države";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";132
"2011";"- Druge evropske države";"Tuji državljani";"Ženske";"Srednješolska";60
"2011";"- Druge evropske države";"Tuji državljani";"Ženske";"Višješolska, visokošolska";66
"2011";"....Ruska federacija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";9
"2011";"....Ruska federacija";"Tuji državljani";"Moški";"Srednješolska";4
"2011";"....Ruska federacija";"Tuji državljani";"Moški";"Višješolska, visokošolska";36
"2011";"....Ruska federacija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";22
"2011";"....Ruska federacija";"Tuji državljani";"Ženske";"Srednješolska";18
"2011";"....Ruska federacija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";34
"2011";"....Švica";"Tuji državljani";"Moški";"Osnovnošolska ali manj";3
"2011";"....Švica";"Tuji državljani";"Moški";"Srednješolska";4
"2011";"....Švica";"Tuji državljani";"Moški";"Višješolska, visokošolska";1
"2011";"....Švica";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";3
"2011";"....Švica";"Tuji državljani";"Ženske";"Srednješolska";1
"2011";"....Švica";"Tuji državljani";"Ženske";"Višješolska, visokošolska";1
"2011";"....Ukrajina";"Tuji državljani";"Moški";"Osnovnošolska ali manj";6
"2011";"....Ukrajina";"Tuji državljani";"Moški";"Srednješolska";22
"2011";"....Ukrajina";"Tuji državljani";"Moški";"Višješolska, visokošolska";12
"2011";"....Ukrajina";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";90
"2011";"....Ukrajina";"Tuji državljani";"Ženske";"Srednješolska";32
"2011";"....Ukrajina";"Tuji državljani";"Ženske";"Višješolska, visokošolska";19
"2011";"....ostale evropske države";"Tuji državljani";"Moški";"Osnovnošolska ali manj";8
"2011";"....ostale evropske države";"Tuji državljani";"Moški";"Srednješolska";3
"2011";"....ostale evropske države";"Tuji državljani";"Moški";"Višješolska, visokošolska";4
"2011";"....ostale evropske države";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";17
"2011";"....ostale evropske države";"Tuji državljani";"Ženske";"Srednješolska";9
"2011";"....ostale evropske države";"Tuji državljani";"Ženske";"Višješolska, visokošolska";12
"2011";"AFRIKA";"Tuji državljani";"Moški";"Osnovnošolska ali manj";21
"2011";"AFRIKA";"Tuji državljani";"Moški";"Srednješolska";28
"2011";"AFRIKA";"Tuji državljani";"Moški";"Višješolska, visokošolska";3
"2011";"AFRIKA";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";6
"2011";"AFRIKA";"Tuji državljani";"Ženske";"Srednješolska";5
"2011";"AFRIKA";"Tuji državljani";"Ženske";"Višješolska, visokošolska";2
"2011";"AZIJA";"Tuji državljani";"Moški";"Osnovnošolska ali manj";35
"2011";"AZIJA";"Tuji državljani";"Moški";"Srednješolska";64
"2011";"AZIJA";"Tuji državljani";"Moški";"Višješolska, visokošolska";25
"2011";"AZIJA";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";57
"2011";"AZIJA";"Tuji državljani";"Ženske";"Srednješolska";44
"2011";"AZIJA";"Tuji državljani";"Ženske";"Višješolska, visokošolska";27
"2011";"SEVERNA IN SREDNJA AMERIKA";"Tuji državljani";"Moški";"Osnovnošolska ali manj";20
"2011";"SEVERNA IN SREDNJA AMERIKA";"Tuji državljani";"Moški";"Srednješolska";23
"2011";"SEVERNA IN SREDNJA AMERIKA";"Tuji državljani";"Moški";"Višješolska, visokošolska";18
"2011";"SEVERNA IN SREDNJA AMERIKA";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";39
"2011";"SEVERNA IN SREDNJA AMERIKA";"Tuji državljani";"Ženske";"Srednješolska";9
"2011";"SEVERNA IN SREDNJA AMERIKA";"Tuji državljani";"Ženske";"Višješolska, visokošolska";5
"2011";"JUŽNA AMERIKA";"Tuji državljani";"Moški";"Osnovnošolska ali manj";9
"2011";"JUŽNA AMERIKA";"Tuji državljani";"Moški";"Srednješolska";13
"2011";"JUŽNA AMERIKA";"Tuji državljani";"Moški";"Višješolska, visokošolska";1
"2011";"JUŽNA AMERIKA";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";10
"2011";"JUŽNA AMERIKA";"Tuji državljani";"Ženske";"Srednješolska";7
"2011";"JUŽNA AMERIKA";"Tuji državljani";"Ženske";"Višješolska, visokošolska";4
"2011";"AVSTRALIJA IN OCEANIJA";"Tuji državljani";"Moški";"Osnovnošolska ali manj";3
"2011";"AVSTRALIJA IN OCEANIJA";"Tuji državljani";"Moški";"Srednješolska";5
"2011";"AVSTRALIJA IN OCEANIJA";"Tuji državljani";"Moški";"Višješolska, visokošolska";1
"2011";"AVSTRALIJA IN OCEANIJA";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";3
"2011";"AVSTRALIJA IN OCEANIJA";"Tuji državljani";"Ženske";"Srednješolska";3
"2011";"AVSTRALIJA IN OCEANIJA";"Tuji državljani";"Ženske";"Višješolska, visokošolska";1
"2012";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Moški";"Osnovnošolska ali manj";2036
"2012";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Moški";"Srednješolska";4194
"2012";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Moški";"Višješolska, visokošolska";535
"2012";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";1845
"2012";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Ženske";"Srednješolska";1462
"2012";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Ženske";"Višješolska, visokošolska";679
"2012";"EVROPA - SKUPAJ";"Tuji državljani";"Moški";"Osnovnošolska ali manj";1951
"2012";"EVROPA - SKUPAJ";"Tuji državljani";"Moški";"Srednješolska";4056
"2012";"EVROPA - SKUPAJ";"Tuji državljani";"Moški";"Višješolska, visokošolska";486
"2012";"EVROPA - SKUPAJ";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";1748
"2012";"EVROPA - SKUPAJ";"Tuji državljani";"Ženske";"Srednješolska";1371
"2012";"EVROPA - SKUPAJ";"Tuji državljani";"Ženske";"Višješolska, visokošolska";649
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Moški";"Osnovnošolska ali manj";1446
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Moški";"Srednješolska";3368
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Moški";"Višješolska, visokošolska";224
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";1353
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Ženske";"Srednješolska";1047
"2012";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Ženske";"Višješolska, visokošolska";417
"2012";"....Bosna in Hercegovina";"Tuji državljani";"Moški";"Osnovnošolska ali manj";526
"2012";"....Bosna in Hercegovina";"Tuji državljani";"Moški";"Srednješolska";1757
"2012";"....Bosna in Hercegovina";"Tuji državljani";"Moški";"Višješolska, visokošolska";35
"2012";"....Bosna in Hercegovina";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";601
"2012";"....Bosna in Hercegovina";"Tuji državljani";"Ženske";"Srednješolska";435
"2012";"....Bosna in Hercegovina";"Tuji državljani";"Ženske";"Višješolska, visokošolska";126
"2012";"....Èrna gora";"Tuji državljani";"Moški";"Osnovnošolska ali manj";10
"2012";"....Èrna gora";"Tuji državljani";"Moški";"Srednješolska";18
"2012";"....Èrna gora";"Tuji državljani";"Moški";"Višješolska, visokošolska";4
"2012";"....Èrna gora";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";20
"2012";"....Èrna gora";"Tuji državljani";"Ženske";"Srednješolska";12
"2012";"....Èrna gora";"Tuji državljani";"Ženske";"Višješolska, visokošolska";6
"2012";"....Kosovo";"Tuji državljani";"Moški";"Osnovnošolska ali manj";310
"2012";"....Kosovo";"Tuji državljani";"Moški";"Srednješolska";189
"2012";"....Kosovo";"Tuji državljani";"Moški";"Višješolska, visokošolska";4
"2012";"....Kosovo";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";268
"2012";"....Kosovo";"Tuji državljani";"Ženske";"Srednješolska";147
"2012";"....Kosovo";"Tuji državljani";"Ženske";"Višješolska, visokošolska";52
"2012";"....Severna Makedonija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";229
"2012";"....Severna Makedonija";"Tuji državljani";"Moški";"Srednješolska";245
"2012";"....Severna Makedonija";"Tuji državljani";"Moški";"Višješolska, visokošolska";41
"2012";"....Severna Makedonija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";238
"2012";"....Severna Makedonija";"Tuji državljani";"Ženske";"Srednješolska";180
"2012";"....Severna Makedonija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";64
"2012";"....Srbija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";231
"2012";"....Srbija";"Tuji državljani";"Moški";"Srednješolska";636
"2012";"....Srbija";"Tuji državljani";"Moški";"Višješolska, visokošolska";67
"2012";"....Srbija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";142
"2012";"....Srbija";"Tuji državljani";"Ženske";"Srednješolska";129
"2012";"....Srbija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";101
"2012";"Države EU - SKUPAJ";"Tuji državljani";"Moški";"Osnovnošolska ali manj";450
"2012";"Države EU - SKUPAJ";"Tuji državljani";"Moški";"Srednješolska";629
"2012";"Države EU - SKUPAJ";"Tuji državljani";"Moški";"Višješolska, visokošolska";184
"2012";"Države EU - SKUPAJ";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";271
"2012";"Države EU - SKUPAJ";"Tuji državljani";"Ženske";"Srednješolska";252
"2012";"Države EU - SKUPAJ";"Tuji državljani";"Ženske";"Višješolska, visokošolska";144
"2012";"....Avstrija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";26
"2012";"....Avstrija";"Tuji državljani";"Moški";"Srednješolska";36
"2012";"....Avstrija";"Tuji državljani";"Moški";"Višješolska, visokošolska";12
"2012";"....Avstrija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";14
"2012";"....Avstrija";"Tuji državljani";"Ženske";"Srednješolska";9
"2012";"....Avstrija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";10
"2012";"....Belgija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";1
"2012";"....Belgija";"Tuji državljani";"Moški";"Srednješolska";2
"2012";"....Belgija";"Tuji državljani";"Moški";"Višješolska, visokošolska";4
"2012";"....Belgija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";1
"2012";"....Belgija";"Tuji državljani";"Ženske";"Srednješolska";3
"2012";"....Belgija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";3
"2012";"....Bolgarija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";208
"2012";"....Bolgarija";"Tuji državljani";"Moški";"Srednješolska";214
"2012";"....Bolgarija";"Tuji državljani";"Moški";"Višješolska, visokošolska";15
"2012";"....Bolgarija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";61
"2012";"....Bolgarija";"Tuji državljani";"Ženske";"Srednješolska";91
"2012";"....Bolgarija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";20
"2012";"....Hrvaška";"Tuji državljani";"Moški";"Osnovnošolska ali manj";140
"2012";"....Hrvaška";"Tuji državljani";"Moški";"Srednješolska";523
"2012";"....Hrvaška";"Tuji državljani";"Moški";"Višješolska, visokošolska";73
"2012";"....Hrvaška";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";84
"2012";"....Hrvaška";"Tuji državljani";"Ženske";"Srednješolska";144
"2012";"....Hrvaška";"Tuji državljani";"Ženske";"Višješolska, visokošolska";68
"2012";"....Italija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";67
"2012";"....Italija";"Tuji državljani";"Moški";"Srednješolska";170
"2012";"....Italija";"Tuji državljani";"Moški";"Višješolska, visokošolska";34
"2012";"....Italija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";50
"2012";"....Italija";"Tuji državljani";"Ženske";"Srednješolska";42
"2012";"....Italija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";28
"2012";"....Nemèija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";40
"2012";"....Nemèija";"Tuji državljani";"Moški";"Srednješolska";64
"2012";"....Nemèija";"Tuji državljani";"Moški";"Višješolska, visokošolska";21
"2012";"....Nemèija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";33
"2012";"....Nemèija";"Tuji državljani";"Ženske";"Srednješolska";21
"2012";"....Nemèija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";14
"2012";"....Slovaška";"Tuji državljani";"Moški";"Osnovnošolska ali manj";23
"2012";"....Slovaška";"Tuji državljani";"Moški";"Srednješolska";29
"2012";"....Slovaška";"Tuji državljani";"Moški";"Višješolska, visokošolska";5
"2012";"....Slovaška";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";28
"2012";"....Slovaška";"Tuji državljani";"Ženske";"Srednješolska";24
"2012";"....Slovaška";"Tuji državljani";"Ženske";"Višješolska, visokošolska";4
"2012";"....Združeno kraljestvo";"Tuji državljani";"Moški";"Osnovnošolska ali manj";15
"2012";"....Združeno kraljestvo";"Tuji državljani";"Moški";"Srednješolska";28
"2012";"....Združeno kraljestvo";"Tuji državljani";"Moški";"Višješolska, visokošolska";21
"2012";"....Združeno kraljestvo";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";19
"2012";"....Združeno kraljestvo";"Tuji državljani";"Ženske";"Srednješolska";4
"2012";"....Združeno kraljestvo";"Tuji državljani";"Ženske";"Višješolska, visokošolska";6
"2012";"....ostale države èlanice EU";"Tuji državljani";"Moški";"Osnovnošolska ali manj";70
"2012";"....ostale države èlanice EU";"Tuji državljani";"Moški";"Srednješolska";86
"2012";"....ostale države èlanice EU";"Tuji državljani";"Moški";"Višješolska, visokošolska";72
"2012";"....ostale države èlanice EU";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";65
"2012";"....ostale države èlanice EU";"Tuji državljani";"Ženske";"Srednješolska";58
"2012";"....ostale države èlanice EU";"Tuji državljani";"Ženske";"Višješolska, visokošolska";59
"2012";"- Druge evropske države";"Tuji državljani";"Moški";"Osnovnošolska ali manj";55
"2012";"- Druge evropske države";"Tuji državljani";"Moški";"Srednješolska";59
"2012";"- Druge evropske države";"Tuji državljani";"Moški";"Višješolska, visokošolska";78
"2012";"- Druge evropske države";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";124
"2012";"- Druge evropske države";"Tuji državljani";"Ženske";"Srednješolska";72
"2012";"- Druge evropske države";"Tuji državljani";"Ženske";"Višješolska, visokošolska";88
"2012";"....Ruska federacija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";26
"2012";"....Ruska federacija";"Tuji državljani";"Moški";"Srednješolska";14
"2012";"....Ruska federacija";"Tuji državljani";"Moški";"Višješolska, visokošolska";49
"2012";"....Ruska federacija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";26
"2012";"....Ruska federacija";"Tuji državljani";"Ženske";"Srednješolska";29
"2012";"....Ruska federacija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";47
"2012";"....Švica";"Tuji državljani";"Moški";"Osnovnošolska ali manj";5
"2012";"....Švica";"Tuji državljani";"Moški";"Srednješolska";4
"2012";"....Švica";"Tuji državljani";"Moški";"Višješolska, visokošolska";2
"2012";"....Švica";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";5
"2012";"....Švica";"Tuji državljani";"Ženske";"Srednješolska";3
"2012";"....Švica";"Tuji državljani";"Ženske";"Višješolska, visokošolska";1
"2012";"....Ukrajina";"Tuji državljani";"Moški";"Osnovnošolska ali manj";21
"2012";"....Ukrajina";"Tuji državljani";"Moški";"Srednješolska";37
"2012";"....Ukrajina";"Tuji državljani";"Moški";"Višješolska, visokošolska";19
"2012";"....Ukrajina";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";66
"2012";"....Ukrajina";"Tuji državljani";"Ženske";"Srednješolska";34
"2012";"....Ukrajina";"Tuji državljani";"Ženske";"Višješolska, visokošolska";27
"2012";"....ostale evropske države";"Tuji državljani";"Moški";"Osnovnošolska ali manj";3
"2012";"....ostale evropske države";"Tuji državljani";"Moški";"Srednješolska";4
"2012";"....ostale evropske države";"Tuji državljani";"Moški";"Višješolska, visokošolska";8
"2012";"....ostale evropske države";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";27
"2012";"....ostale evropske države";"Tuji državljani";"Ženske";"Srednješolska";6
"2012";"....ostale evropske države";"Tuji državljani";"Ženske";"Višješolska, visokošolska";13
"2012";"AFRIKA";"Tuji državljani";"Moški";"Osnovnošolska ali manj";20
"2012";"AFRIKA";"Tuji državljani";"Moški";"Srednješolska";25
"2012";"AFRIKA";"Tuji državljani";"Moški";"Višješolska, visokošolska";7
"2012";"AFRIKA";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";5
"2012";"AFRIKA";"Tuji državljani";"Ženske";"Srednješolska";3
"2012";"AFRIKA";"Tuji državljani";"Ženske";"Višješolska, visokošolska";3
