"Selitveno gibanje prebivalstva, statistiène regije, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"MERITVE";Selitveno gibanje prebivalstva
"2012";"Posavska";"Priseljeni iz tujine - Ženske";199
"2012";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Moški";444
"2012";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Ženske";285
"2012";"Osrednjeslovenska";"Priseljeni iz tujine - Moški";2821
"2012";"Osrednjeslovenska";"Priseljeni iz tujine - Ženske";2058
"2012";"Gorenjska";"Priseljeni iz tujine - Moški";695
"2012";"Gorenjska";"Priseljeni iz tujine - Ženske";535
"2012";"Primorsko-notranjska";"Priseljeni iz tujine - Moški";216
"2012";"Primorsko-notranjska";"Priseljeni iz tujine - Ženske";178
"2012";"Goriška";"Priseljeni iz tujine - Moški";456
"2012";"Goriška";"Priseljeni iz tujine - Ženske";365
"2012";"Obalno-kraška";"Priseljeni iz tujine - Moški";1015
"2012";"Obalno-kraška";"Priseljeni iz tujine - Ženske";611
"2013";"Pomurska";"Priseljeni iz tujine - Moški";168
"2013";"Pomurska";"Priseljeni iz tujine - Ženske";126
"2013";"Podravska";"Priseljeni iz tujine - Moški";1483
"2013";"Podravska";"Priseljeni iz tujine - Ženske";683
"2013";"Koroška";"Priseljeni iz tujine - Moški";163
"2013";"Koroška";"Priseljeni iz tujine - Ženske";111
"2013";"Savinjska";"Priseljeni iz tujine - Moški";1226
"2013";"Savinjska";"Priseljeni iz tujine - Ženske";640
"2013";"Zasavska";"Priseljeni iz tujine - Moški";71
"2013";"Zasavska";"Priseljeni iz tujine - Ženske";74
"2013";"Posavska";"Priseljeni iz tujine - Moški";274
"2013";"Posavska";"Priseljeni iz tujine - Ženske";151
"2013";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Moški";411
"2013";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Ženske";251
"2013";"Osrednjeslovenska";"Priseljeni iz tujine - Moški";2614
"2013";"Osrednjeslovenska";"Priseljeni iz tujine - Ženske";1870
"2013";"Gorenjska";"Priseljeni iz tujine - Moški";633
"2013";"Gorenjska";"Priseljeni iz tujine - Ženske";460
"2013";"Primorsko-notranjska";"Priseljeni iz tujine - Moški";239
"2013";"Primorsko-notranjska";"Priseljeni iz tujine - Ženske";168
"2013";"Goriška";"Priseljeni iz tujine - Moški";405
"2013";"Goriška";"Priseljeni iz tujine - Ženske";294
"2013";"Obalno-kraška";"Priseljeni iz tujine - Moški";778
"2013";"Obalno-kraška";"Priseljeni iz tujine - Ženske";578
"2014";"Pomurska";"Priseljeni iz tujine - Moški";262
"2014";"Pomurska";"Priseljeni iz tujine - Ženske";171
"2014";"Podravska";"Priseljeni iz tujine - Moški";1387
"2014";"Podravska";"Priseljeni iz tujine - Ženske";722
"2014";"Koroška";"Priseljeni iz tujine - Moški";159
"2014";"Koroška";"Priseljeni iz tujine - Ženske";123
"2014";"Savinjska";"Priseljeni iz tujine - Moški";880
"2014";"Savinjska";"Priseljeni iz tujine - Ženske";644
"2014";"Zasavska";"Priseljeni iz tujine - Moški";67
"2014";"Zasavska";"Priseljeni iz tujine - Ženske";64
"2014";"Posavska";"Priseljeni iz tujine - Moški";223
"2014";"Posavska";"Priseljeni iz tujine - Ženske";165
"2014";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Moški";452
"2014";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Ženske";242
"2014";"Osrednjeslovenska";"Priseljeni iz tujine - Moški";2722
"2014";"Osrednjeslovenska";"Priseljeni iz tujine - Ženske";2024
"2014";"Gorenjska";"Priseljeni iz tujine - Moški";641
"2014";"Gorenjska";"Priseljeni iz tujine - Ženske";479
"2014";"Primorsko-notranjska";"Priseljeni iz tujine - Moški";256
"2014";"Primorsko-notranjska";"Priseljeni iz tujine - Ženske";137
"2014";"Goriška";"Priseljeni iz tujine - Moški";400
"2014";"Goriška";"Priseljeni iz tujine - Ženske";260
"2014";"Obalno-kraška";"Priseljeni iz tujine - Moški";793
"2014";"Obalno-kraška";"Priseljeni iz tujine - Ženske";573
"2015";"Pomurska";"Priseljeni iz tujine - Moški";237
"2015";"Pomurska";"Priseljeni iz tujine - Ženske";144
"2015";"Podravska";"Priseljeni iz tujine - Moški";1505
"2015";"Podravska";"Priseljeni iz tujine - Ženske";813
"2015";"Koroška";"Priseljeni iz tujine - Moški";178
"2015";"Koroška";"Priseljeni iz tujine - Ženske";139
"2015";"Savinjska";"Priseljeni iz tujine - Moški";1087
"2015";"Savinjska";"Priseljeni iz tujine - Ženske";728
"2015";"Zasavska";"Priseljeni iz tujine - Moški";148
"2015";"Zasavska";"Priseljeni iz tujine - Ženske";98
"2015";"Posavska";"Priseljeni iz tujine - Moški";294
"2015";"Posavska";"Priseljeni iz tujine - Ženske";180
"2015";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Moški";470
"2015";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Ženske";284
"2015";"Osrednjeslovenska";"Priseljeni iz tujine - Moški";2982
"2015";"Osrednjeslovenska";"Priseljeni iz tujine - Ženske";2152
"2015";"Gorenjska";"Priseljeni iz tujine - Moški";746
"2015";"Gorenjska";"Priseljeni iz tujine - Ženske";531
"2015";"Primorsko-notranjska";"Priseljeni iz tujine - Moški";292
"2015";"Primorsko-notranjska";"Priseljeni iz tujine - Ženske";177
"2015";"Goriška";"Priseljeni iz tujine - Moški";451
"2015";"Goriška";"Priseljeni iz tujine - Ženske";330
"2015";"Obalno-kraška";"Priseljeni iz tujine - Moški";825
"2015";"Obalno-kraška";"Priseljeni iz tujine - Ženske";629
"2016";"Pomurska";"Priseljeni iz tujine - Moški";234
"2016";"Pomurska";"Priseljeni iz tujine - Ženske";180
"2016";"Podravska";"Priseljeni iz tujine - Moški";1779
"2016";"Podravska";"Priseljeni iz tujine - Ženske";937
"2016";"Koroška";"Priseljeni iz tujine - Moški";189
"2016";"Koroška";"Priseljeni iz tujine - Ženske";104
"2016";"Savinjska";"Priseljeni iz tujine - Moški";1365
"2016";"Savinjska";"Priseljeni iz tujine - Ženske";651
"2016";"Zasavska";"Priseljeni iz tujine - Moški";142
"2016";"Zasavska";"Priseljeni iz tujine - Ženske";92
"2016";"Posavska";"Priseljeni iz tujine - Moški";315
"2016";"Posavska";"Priseljeni iz tujine - Ženske";197
"2016";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Moški";520
"2016";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Ženske";245
"2016";"Osrednjeslovenska";"Priseljeni iz tujine - Moški";3354
"2016";"Osrednjeslovenska";"Priseljeni iz tujine - Ženske";2139
"2016";"Gorenjska";"Priseljeni iz tujine - Moški";771
"2016";"Gorenjska";"Priseljeni iz tujine - Ženske";527
"2016";"Primorsko-notranjska";"Priseljeni iz tujine - Moški";312
"2016";"Primorsko-notranjska";"Priseljeni iz tujine - Ženske";165
"2016";"Goriška";"Priseljeni iz tujine - Moški";516
"2016";"Goriška";"Priseljeni iz tujine - Ženske";337
"2016";"Obalno-kraška";"Priseljeni iz tujine - Moški";920
"2016";"Obalno-kraška";"Priseljeni iz tujine - Ženske";632
"2017";"Pomurska";"Priseljeni iz tujine - Moški";261
"2017";"Pomurska";"Priseljeni iz tujine - Ženske";164
"2017";"Podravska";"Priseljeni iz tujine - Moški";2190
"2017";"Podravska";"Priseljeni iz tujine - Ženske";1050
"2017";"Koroška";"Priseljeni iz tujine - Moški";244
"2017";"Koroška";"Priseljeni iz tujine - Ženske";136
"2017";"Savinjska";"Priseljeni iz tujine - Moški";1648
"2017";"Savinjska";"Priseljeni iz tujine - Ženske";680
"2017";"Zasavska";"Priseljeni iz tujine - Moški";178
"2017";"Zasavska";"Priseljeni iz tujine - Ženske";101
"2017";"Posavska";"Priseljeni iz tujine - Moški";312
"2017";"Posavska";"Priseljeni iz tujine - Ženske";193
"2017";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Moški";617
"2017";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Ženske";318
"2017";"Osrednjeslovenska";"Priseljeni iz tujine - Moški";3985
"2017";"Osrednjeslovenska";"Priseljeni iz tujine - Ženske";2195
"2017";"Gorenjska";"Priseljeni iz tujine - Moški";939
"2017";"Gorenjska";"Priseljeni iz tujine - Ženske";540
"2017";"Primorsko-notranjska";"Priseljeni iz tujine - Moški";268
"2017";"Primorsko-notranjska";"Priseljeni iz tujine - Ženske";175
"2017";"Goriška";"Priseljeni iz tujine - Moški";605
"2017";"Goriška";"Priseljeni iz tujine - Ženske";313
"2017";"Obalno-kraška";"Priseljeni iz tujine - Moški";1017
"2017";"Obalno-kraška";"Priseljeni iz tujine - Ženske";679
"2018";"Pomurska";"Priseljeni iz tujine - Moški";447
"2018";"Pomurska";"Priseljeni iz tujine - Ženske";223
"2018";"Podravska";"Priseljeni iz tujine - Moški";3390
"2018";"Podravska";"Priseljeni iz tujine - Ženske";1211
"2018";"Koroška";"Priseljeni iz tujine - Moški";535
"2018";"Koroška";"Priseljeni iz tujine - Ženske";186
"2018";"Savinjska";"Priseljeni iz tujine - Moški";2737
"2018";"Savinjska";"Priseljeni iz tujine - Ženske";871
"2018";"Zasavska";"Priseljeni iz tujine - Moški";291
"2018";"Zasavska";"Priseljeni iz tujine - Ženske";151
"2018";"Posavska";"Priseljeni iz tujine - Moški";644
"2018";"Posavska";"Priseljeni iz tujine - Ženske";205
"2018";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Moški";1543
"2018";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Ženske";418
"2018";"Osrednjeslovenska";"Priseljeni iz tujine - Moški";5800
"2018";"Osrednjeslovenska";"Priseljeni iz tujine - Ženske";2877
"2018";"Gorenjska";"Priseljeni iz tujine - Moški";1886
"2018";"Gorenjska";"Priseljeni iz tujine - Ženske";787
"2018";"Primorsko-notranjska";"Priseljeni iz tujine - Moški";436
"2018";"Primorsko-notranjska";"Priseljeni iz tujine - Ženske";211
"2018";"Goriška";"Priseljeni iz tujine - Moški";1010
"2018";"Goriška";"Priseljeni iz tujine - Ženske";472
"2018";"Obalno-kraška";"Priseljeni iz tujine - Moški";1367
"2018";"Obalno-kraška";"Priseljeni iz tujine - Ženske";757
"2019";"Pomurska";"Priseljeni iz tujine - Moški";495
"2019";"Pomurska";"Priseljeni iz tujine - Ženske";228
"2019";"Podravska";"Priseljeni iz tujine - Moški";3907
"2019";"Podravska";"Priseljeni iz tujine - Ženske";1166
"2019";"Koroška";"Priseljeni iz tujine - Moški";613
"2019";"Koroška";"Priseljeni iz tujine - Ženske";226
"2019";"Savinjska";"Priseljeni iz tujine - Moški";3017
"2019";"Savinjska";"Priseljeni iz tujine - Ženske";973
"2019";"Zasavska";"Priseljeni iz tujine - Moški";416
"2019";"Zasavska";"Priseljeni iz tujine - Ženske";187
"2019";"Posavska";"Priseljeni iz tujine - Moški";753
"2019";"Posavska";"Priseljeni iz tujine - Ženske";218
"2019";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Moški";1588
"2019";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Ženske";521
"2019";"Osrednjeslovenska";"Priseljeni iz tujine - Moški";6324
"2019";"Osrednjeslovenska";"Priseljeni iz tujine - Ženske";3040
"2019";"Gorenjska";"Priseljeni iz tujine - Moški";2223
"2019";"Gorenjska";"Priseljeni iz tujine - Ženske";865
"2019";"Primorsko-notranjska";"Priseljeni iz tujine - Moški";562
"2019";"Primorsko-notranjska";"Priseljeni iz tujine - Ženske";231
"2019";"Goriška";"Priseljeni iz tujine - Moški";1149
"2019";"Goriška";"Priseljeni iz tujine - Ženske";467
"2019";"Obalno-kraška";"Priseljeni iz tujine - Moški";1398
"2019";"Obalno-kraška";"Priseljeni iz tujine - Ženske";752
"2020";"Pomurska";"Priseljeni iz tujine - Moški";970
"2020";"Pomurska";"Priseljeni iz tujine - Ženske";567
"2020";"Podravska";"Priseljeni iz tujine - Moški";4458
"2020";"Podravska";"Priseljeni iz tujine - Ženske";1973
"2020";"Koroška";"Priseljeni iz tujine - Moški";528
"2020";"Koroška";"Priseljeni iz tujine - Ženske";289
"2020";"Savinjska";"Priseljeni iz tujine - Moški";3190
"2020";"Savinjska";"Priseljeni iz tujine - Ženske";1451
"2020";"Zasavska";"Priseljeni iz tujine - Moški";429
"2020";"Zasavska";"Priseljeni iz tujine - Ženske";263
"2020";"Posavska";"Priseljeni iz tujine - Moški";713
"2020";"Posavska";"Priseljeni iz tujine - Ženske";371
"2020";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Moški";1062
"2020";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Ženske";594
"2020";"Osrednjeslovenska";"Priseljeni iz tujine - Moški";6162
"2020";"Osrednjeslovenska";"Priseljeni iz tujine - Ženske";4087
"2020";"Gorenjska";"Priseljeni iz tujine - Moški";2212
"2020";"Gorenjska";"Priseljeni iz tujine - Ženske";1231
"2020";"Primorsko-notranjska";"Priseljeni iz tujine - Moški";585
"2020";"Primorsko-notranjska";"Priseljeni iz tujine - Ženske";297
"2020";"Goriška";"Priseljeni iz tujine - Moški";1142
"2020";"Goriška";"Priseljeni iz tujine - Ženske";601
"2020";"Obalno-kraška";"Priseljeni iz tujine - Moški";1686
"2020";"Obalno-kraška";"Priseljeni iz tujine - Ženske";1249
