"Meddržavne selitve po državi državljanstva in spolu, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"SELITVE";"SPOL";Meddržavne selitve
"2012";"  Severna Makedonija";"Priseljeni iz tujine";"Moški";532
"2012";"  Severna Makedonija";"Priseljeni iz tujine";"Ženske";548
"2012";"  Slovenija";"Priseljeni iz tujine";"Moški";1540
"2012";"  Slovenija";"Priseljeni iz tujine";"Ženske";1201
"2012";"  Srbija";"Priseljeni iz tujine";"Moški";928
"2012";"  Srbija";"Priseljeni iz tujine";"Ženske";412
"2012";"  Švedska";"Priseljeni iz tujine";"Moški";6
"2012";"  Švedska";"Priseljeni iz tujine";"Ženske";6
"2012";"  Švica";"Priseljeni iz tujine";"Moški";8
"2012";"  Švica";"Priseljeni iz tujine";"Ženske";6
"2012";"  Ukrajina";"Priseljeni iz tujine";"Moški";82
"2012";"  Ukrajina";"Priseljeni iz tujine";"Ženske";141
"2012";"  Združeno kraljestvo";"Priseljeni iz tujine";"Moški";68
"2012";"  Združeno kraljestvo";"Priseljeni iz tujine";"Ženske";34
"2012";"  Druge države Evrope";"Priseljeni iz tujine";"Moški";121
"2012";"  Druge države Evrope";"Priseljeni iz tujine";"Ženske";157
"2012";"AFRIKA";"Priseljeni iz tujine";"Moški";57
"2012";"AFRIKA";"Priseljeni iz tujine";"Ženske";11
"2012";"AZIJA";"Priseljeni iz tujine";"Moški";163
"2012";"AZIJA";"Priseljeni iz tujine";"Ženske";143
"2012";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Moški";15
"2012";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Ženske";21
"2012";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Moški";54
"2012";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Ženske";57
"2012";"  Kanada";"Priseljeni iz tujine";"Moški";8
"2012";"  Kanada";"Priseljeni iz tujine";"Ženske";2
"2012";"  Združene države";"Priseljeni iz tujine";"Moški";28
"2012";"  Združene države";"Priseljeni iz tujine";"Ženske";28
"2012";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Moški";18
"2012";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Ženske";27
"2012";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Moški";11
"2012";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Ženske";5
"2012";"Neznana država";"Priseljeni iz tujine";"Moški";0
"2012";"Neznana država";"Priseljeni iz tujine";"Ženske";0
"2013";"EVROPA";"Priseljeni iz tujine";"Moški";8167
"2013";"EVROPA";"Priseljeni iz tujine";"Ženske";5155
"2013";"  Albanija";"Priseljeni iz tujine";"Moški";5
"2013";"  Albanija";"Priseljeni iz tujine";"Ženske";6
"2013";"  Avstrija";"Priseljeni iz tujine";"Moški";34
"2013";"  Avstrija";"Priseljeni iz tujine";"Ženske";19
"2013";"  Belgija";"Priseljeni iz tujine";"Moški";8
"2013";"  Belgija";"Priseljeni iz tujine";"Ženske";4
"2013";"  Bolgarija";"Priseljeni iz tujine";"Moški";521
"2013";"  Bolgarija";"Priseljeni iz tujine";"Ženske";164
"2013";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Moški";2390
"2013";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Ženske";1456
"2013";"  Èeška republika";"Priseljeni iz tujine";"Moški";7
"2013";"  Èeška republika";"Priseljeni iz tujine";"Ženske";13
"2013";"  Èrna gora";"Priseljeni iz tujine";"Moški";28
"2013";"  Èrna gora";"Priseljeni iz tujine";"Ženske";48
"2013";"  Danska";"Priseljeni iz tujine";"Moški";2
"2013";"  Danska";"Priseljeni iz tujine";"Ženske";1
"2013";"  Francija";"Priseljeni iz tujine";"Moški";62
"2013";"  Francija";"Priseljeni iz tujine";"Ženske";30
"2013";"  Hrvaška";"Priseljeni iz tujine";"Moški";878
"2013";"  Hrvaška";"Priseljeni iz tujine";"Ženske";319
"2013";"  Italija";"Priseljeni iz tujine";"Moški";300
"2013";"  Italija";"Priseljeni iz tujine";"Ženske";129
"2013";"  Kosovo";"Priseljeni iz tujine";"Moški";483
"2013";"  Kosovo";"Priseljeni iz tujine";"Ženske";569
"2013";"  Madžarska";"Priseljeni iz tujine";"Moški";50
"2013";"  Madžarska";"Priseljeni iz tujine";"Ženske";40
"2013";"  Nemèija";"Priseljeni iz tujine";"Moški";75
"2013";"  Nemèija";"Priseljeni iz tujine";"Ženske";48
"2013";"  Nizozemska";"Priseljeni iz tujine";"Moški";18
"2013";"  Nizozemska";"Priseljeni iz tujine";"Ženske";6
"2013";"  Poljska";"Priseljeni iz tujine";"Moški";42
"2013";"  Poljska";"Priseljeni iz tujine";"Ženske";16
"2013";"  Romunija";"Priseljeni iz tujine";"Moški";157
"2013";"  Romunija";"Priseljeni iz tujine";"Ženske";36
"2013";"  Ruska federacija";"Priseljeni iz tujine";"Moški";171
"2013";"  Ruska federacija";"Priseljeni iz tujine";"Ženske";170
"2013";"  Severna Makedonija";"Priseljeni iz tujine";"Moški";382
"2013";"  Severna Makedonija";"Priseljeni iz tujine";"Ženske";440
"2013";"  Slovenija";"Priseljeni iz tujine";"Moški";1306
"2013";"  Slovenija";"Priseljeni iz tujine";"Ženske";944
"2013";"  Srbija";"Priseljeni iz tujine";"Moški";987
"2013";"  Srbija";"Priseljeni iz tujine";"Ženske";427
"2013";"  Švedska";"Priseljeni iz tujine";"Moški";9
"2013";"  Švedska";"Priseljeni iz tujine";"Ženske";5
"2013";"  Švica";"Priseljeni iz tujine";"Moški";5
"2013";"  Švica";"Priseljeni iz tujine";"Ženske";3
"2013";"  Ukrajina";"Priseljeni iz tujine";"Moški";73
"2013";"  Ukrajina";"Priseljeni iz tujine";"Ženske";109
"2013";"  Združeno kraljestvo";"Priseljeni iz tujine";"Moški";42
"2013";"  Združeno kraljestvo";"Priseljeni iz tujine";"Ženske";20
"2013";"  Druge države Evrope";"Priseljeni iz tujine";"Moški";132
"2013";"  Druge države Evrope";"Priseljeni iz tujine";"Ženske";133
"2013";"AFRIKA";"Priseljeni iz tujine";"Moški";50
"2013";"AFRIKA";"Priseljeni iz tujine";"Ženske";17
"2013";"AZIJA";"Priseljeni iz tujine";"Moški";165
"2013";"AZIJA";"Priseljeni iz tujine";"Ženske";141
"2013";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Moški";12
"2013";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Ženske";25
"2013";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Moški";61
"2013";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Ženske";63
"2013";"  Kanada";"Priseljeni iz tujine";"Moški";2
"2013";"  Kanada";"Priseljeni iz tujine";"Ženske";2
"2013";"  Združene države";"Priseljeni iz tujine";"Moški";45
"2013";"  Združene države";"Priseljeni iz tujine";"Ženske";31
"2013";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Moški";14
"2013";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Ženske";30
"2013";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Moški";10
"2013";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Ženske";5
"2013";"Neznana država";"Priseljeni iz tujine";"Moški";0
"2013";"Neznana država";"Priseljeni iz tujine";"Ženske";0
"2014";"EVROPA";"Priseljeni iz tujine";"Moški";7960
"2014";"EVROPA";"Priseljeni iz tujine";"Ženske";5374
"2014";"  Albanija";"Priseljeni iz tujine";"Moški";3
"2014";"  Albanija";"Priseljeni iz tujine";"Ženske";7
"2014";"  Avstrija";"Priseljeni iz tujine";"Moški";45
"2014";"  Avstrija";"Priseljeni iz tujine";"Ženske";20
"2014";"  Belgija";"Priseljeni iz tujine";"Moški";13
"2014";"  Belgija";"Priseljeni iz tujine";"Ženske";1
"2014";"  Bolgarija";"Priseljeni iz tujine";"Moški";679
"2014";"  Bolgarija";"Priseljeni iz tujine";"Ženske";130
"2014";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Moški";2034
"2014";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Ženske";1342
"2014";"  Èeška republika";"Priseljeni iz tujine";"Moški";15
"2014";"  Èeška republika";"Priseljeni iz tujine";"Ženske";29
"2014";"  Èrna gora";"Priseljeni iz tujine";"Moški";44
"2014";"  Èrna gora";"Priseljeni iz tujine";"Ženske";32
"2014";"  Danska";"Priseljeni iz tujine";"Moški";2
"2014";"  Danska";"Priseljeni iz tujine";"Ženske";2
"2014";"  Francija";"Priseljeni iz tujine";"Moški";29
"2014";"  Francija";"Priseljeni iz tujine";"Ženske";15
"2014";"  Hrvaška";"Priseljeni iz tujine";"Moški";684
"2014";"  Hrvaška";"Priseljeni iz tujine";"Ženske";380
"2014";"  Italija";"Priseljeni iz tujine";"Moški";320
"2014";"  Italija";"Priseljeni iz tujine";"Ženske";161
"2014";"  Kosovo";"Priseljeni iz tujine";"Moški";626
"2014";"  Kosovo";"Priseljeni iz tujine";"Ženske";673
"2014";"  Madžarska";"Priseljeni iz tujine";"Moški";92
"2014";"  Madžarska";"Priseljeni iz tujine";"Ženske";33
"2014";"  Nemèija";"Priseljeni iz tujine";"Moški";74
"2014";"  Nemèija";"Priseljeni iz tujine";"Ženske";58
"2014";"  Nizozemska";"Priseljeni iz tujine";"Moški";13
"2014";"  Nizozemska";"Priseljeni iz tujine";"Ženske";6
"2014";"  Poljska";"Priseljeni iz tujine";"Moški";37
"2014";"  Poljska";"Priseljeni iz tujine";"Ženske";19
"2014";"  Romunija";"Priseljeni iz tujine";"Moški";85
"2014";"  Romunija";"Priseljeni iz tujine";"Ženske";38
"2014";"  Ruska federacija";"Priseljeni iz tujine";"Moški";240
"2014";"  Ruska federacija";"Priseljeni iz tujine";"Ženske";252
"2014";"  Severna Makedonija";"Priseljeni iz tujine";"Moški";343
"2014";"  Severna Makedonija";"Priseljeni iz tujine";"Ženske";402
"2014";"  Slovenija";"Priseljeni iz tujine";"Moški";1413
"2014";"  Slovenija";"Priseljeni iz tujine";"Ženske";1122
"2014";"  Srbija";"Priseljeni iz tujine";"Moški";877
"2014";"  Srbija";"Priseljeni iz tujine";"Ženske";389
"2014";"  Švedska";"Priseljeni iz tujine";"Moški";7
"2014";"  Švedska";"Priseljeni iz tujine";"Ženske";7
"2014";"  Švica";"Priseljeni iz tujine";"Moški";11
"2014";"  Švica";"Priseljeni iz tujine";"Ženske";2
"2014";"  Ukrajina";"Priseljeni iz tujine";"Moški";104
"2014";"  Ukrajina";"Priseljeni iz tujine";"Ženske";119
"2014";"  Združeno kraljestvo";"Priseljeni iz tujine";"Moški";48
"2014";"  Združeno kraljestvo";"Priseljeni iz tujine";"Ženske";22
"2014";"  Druge države Evrope";"Priseljeni iz tujine";"Moški";122
"2014";"  Druge države Evrope";"Priseljeni iz tujine";"Ženske";113
"2014";"AFRIKA";"Priseljeni iz tujine";"Moški";63
"2014";"AFRIKA";"Priseljeni iz tujine";"Ženske";23
"2014";"AZIJA";"Priseljeni iz tujine";"Moški";143
"2014";"AZIJA";"Priseljeni iz tujine";"Ženske";135
"2014";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Moški";12
"2014";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Ženske";17
"2014";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Moški";58
"2014";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Ženske";54
"2014";"  Kanada";"Priseljeni iz tujine";"Moški";4
"2014";"  Kanada";"Priseljeni iz tujine";"Ženske";3
"2014";"  Združene države";"Priseljeni iz tujine";"Moški";39
"2014";"  Združene države";"Priseljeni iz tujine";"Ženske";35
"2014";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Moški";15
"2014";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Ženske";16
"2014";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Moški";6
"2014";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Ženske";1
"2014";"Neznana država";"Priseljeni iz tujine";"Moški";0
"2014";"Neznana država";"Priseljeni iz tujine";"Ženske";0
"2015";"EVROPA";"Priseljeni iz tujine";"Moški";8872
"2015";"EVROPA";"Priseljeni iz tujine";"Ženske";5907
"2015";"  Albanija";"Priseljeni iz tujine";"Moški";5
"2015";"  Albanija";"Priseljeni iz tujine";"Ženske";13
"2015";"  Avstrija";"Priseljeni iz tujine";"Moški";34
"2015";"  Avstrija";"Priseljeni iz tujine";"Ženske";18
"2015";"  Belgija";"Priseljeni iz tujine";"Moški";5
"2015";"  Belgija";"Priseljeni iz tujine";"Ženske";2
"2015";"  Bolgarija";"Priseljeni iz tujine";"Moški";522
"2015";"  Bolgarija";"Priseljeni iz tujine";"Ženske";140
"2015";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Moški";2958
"2015";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Ženske";1736
"2015";"  Èeška republika";"Priseljeni iz tujine";"Moški";14
"2015";"  Èeška republika";"Priseljeni iz tujine";"Ženske";16
"2015";"  Èrna gora";"Priseljeni iz tujine";"Moški";46
"2015";"  Èrna gora";"Priseljeni iz tujine";"Ženske";21
"2015";"  Danska";"Priseljeni iz tujine";"Moški";2
"2015";"  Danska";"Priseljeni iz tujine";"Ženske";1
"2015";"  Francija";"Priseljeni iz tujine";"Moški";28
"2015";"  Francija";"Priseljeni iz tujine";"Ženske";22
"2015";"  Hrvaška";"Priseljeni iz tujine";"Moški";539
"2015";"  Hrvaška";"Priseljeni iz tujine";"Ženske";307
"2015";"  Italija";"Priseljeni iz tujine";"Moški";384
"2015";"  Italija";"Priseljeni iz tujine";"Ženske";144
"2015";"  Kosovo";"Priseljeni iz tujine";"Moški";699
"2015";"  Kosovo";"Priseljeni iz tujine";"Ženske";832
"2015";"  Madžarska";"Priseljeni iz tujine";"Moški";78
"2015";"  Madžarska";"Priseljeni iz tujine";"Ženske";47
"2015";"  Nemèija";"Priseljeni iz tujine";"Moški";57
"2015";"  Nemèija";"Priseljeni iz tujine";"Ženske";37
"2015";"  Nizozemska";"Priseljeni iz tujine";"Moški";12
"2015";"  Nizozemska";"Priseljeni iz tujine";"Ženske";3
"2015";"  Poljska";"Priseljeni iz tujine";"Moški";16
"2015";"  Poljska";"Priseljeni iz tujine";"Ženske";18
"2015";"  Romunija";"Priseljeni iz tujine";"Moški";45
"2015";"  Romunija";"Priseljeni iz tujine";"Ženske";22
"2015";"  Ruska federacija";"Priseljeni iz tujine";"Moški";303
"2015";"  Ruska federacija";"Priseljeni iz tujine";"Ženske";336
"2015";"  Severna Makedonija";"Priseljeni iz tujine";"Moški";324
"2015";"  Severna Makedonija";"Priseljeni iz tujine";"Ženske";385
"2015";"  Slovenija";"Priseljeni iz tujine";"Moški";1612
"2015";"  Slovenija";"Priseljeni iz tujine";"Ženske";1143
"2015";"  Srbija";"Priseljeni iz tujine";"Moški";886
"2015";"  Srbija";"Priseljeni iz tujine";"Ženske";365
"2015";"  Švedska";"Priseljeni iz tujine";"Moški";9
"2015";"  Švedska";"Priseljeni iz tujine";"Ženske";3
"2015";"  Švica";"Priseljeni iz tujine";"Moški";5
"2015";"  Švica";"Priseljeni iz tujine";"Ženske";4
"2015";"  Ukrajina";"Priseljeni iz tujine";"Moški";134
"2015";"  Ukrajina";"Priseljeni iz tujine";"Ženske";169
"2015";"  Združeno kraljestvo";"Priseljeni iz tujine";"Moški";47
"2015";"  Združeno kraljestvo";"Priseljeni iz tujine";"Ženske";25
"2015";"  Druge države Evrope";"Priseljeni iz tujine";"Moški";108
"2015";"  Druge države Evrope";"Priseljeni iz tujine";"Ženske";98
"2015";"AFRIKA";"Priseljeni iz tujine";"Moški";62
"2015";"AFRIKA";"Priseljeni iz tujine";"Ženske";20
"2015";"AZIJA";"Priseljeni iz tujine";"Moški";197
"2015";"AZIJA";"Priseljeni iz tujine";"Ženske";175
"2015";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Moški";13
"2015";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Ženske";31
"2015";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Moški";65
"2015";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Ženske";70
"2015";"  Kanada";"Priseljeni iz tujine";"Moški";4
"2015";"  Kanada";"Priseljeni iz tujine";"Ženske";7
"2015";"  Združene države";"Priseljeni iz tujine";"Moški";48
"2015";"  Združene države";"Priseljeni iz tujine";"Ženske";44
"2015";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Moški";13
"2015";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Ženske";19
"2015";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Moški";6
"2015";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Ženske";2
"2015";"Neznana država";"Priseljeni iz tujine";"Moški";0
"2015";"Neznana država";"Priseljeni iz tujine";"Ženske";0
"2016";"EVROPA";"Priseljeni iz tujine";"Moški";10023
"2016";"EVROPA";"Priseljeni iz tujine";"Ženske";5913
"2016";"  Albanija";"Priseljeni iz tujine";"Moški";1
"2016";"  Albanija";"Priseljeni iz tujine";"Ženske";10
"2016";"  Avstrija";"Priseljeni iz tujine";"Moški";47
"2016";"  Avstrija";"Priseljeni iz tujine";"Ženske";27
"2016";"  Belgija";"Priseljeni iz tujine";"Moški";9
"2016";"  Belgija";"Priseljeni iz tujine";"Ženske";5
"2016";"  Bolgarija";"Priseljeni iz tujine";"Moški";592
"2016";"  Bolgarija";"Priseljeni iz tujine";"Ženske";151
"2016";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Moški";3250
"2016";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Ženske";1561
"2016";"  Èeška republika";"Priseljeni iz tujine";"Moški";6
"2016";"  Èeška republika";"Priseljeni iz tujine";"Ženske";21
"2016";"  Èrna gora";"Priseljeni iz tujine";"Moški";26
"2016";"  Èrna gora";"Priseljeni iz tujine";"Ženske";26
"2016";"  Danska";"Priseljeni iz tujine";"Moški";4
"2016";"  Danska";"Priseljeni iz tujine";"Ženske";3
"2016";"  Francija";"Priseljeni iz tujine";"Moški";45
"2016";"  Francija";"Priseljeni iz tujine";"Ženske";29
"2016";"  Hrvaška";"Priseljeni iz tujine";"Moški";722
"2016";"  Hrvaška";"Priseljeni iz tujine";"Ženske";373
"2016";"  Italija";"Priseljeni iz tujine";"Moški";395
"2016";"  Italija";"Priseljeni iz tujine";"Ženske";164
"2016";"  Kosovo";"Priseljeni iz tujine";"Moški";684
"2016";"  Kosovo";"Priseljeni iz tujine";"Ženske";799
"2016";"  Madžarska";"Priseljeni iz tujine";"Moški";149
"2016";"  Madžarska";"Priseljeni iz tujine";"Ženske";34
"2016";"  Nemèija";"Priseljeni iz tujine";"Moški";76
"2016";"  Nemèija";"Priseljeni iz tujine";"Ženske";44
"2016";"  Nizozemska";"Priseljeni iz tujine";"Moški";12
"2016";"  Nizozemska";"Priseljeni iz tujine";"Ženske";6
"2016";"  Poljska";"Priseljeni iz tujine";"Moški";12
"2016";"  Poljska";"Priseljeni iz tujine";"Ženske";31
"2016";"  Romunija";"Priseljeni iz tujine";"Moški";103
"2016";"  Romunija";"Priseljeni iz tujine";"Ženske";33
"2016";"  Ruska federacija";"Priseljeni iz tujine";"Moški";277
"2016";"  Ruska federacija";"Priseljeni iz tujine";"Ženske";247
"2016";"  Severna Makedonija";"Priseljeni iz tujine";"Moški";397
"2016";"  Severna Makedonija";"Priseljeni iz tujine";"Ženske";465
"2016";"  Slovenija";"Priseljeni iz tujine";"Moški";1653
"2016";"  Slovenija";"Priseljeni iz tujine";"Ženske";1210
"2016";"  Srbija";"Priseljeni iz tujine";"Moški";1222
"2016";"  Srbija";"Priseljeni iz tujine";"Ženske";375
"2016";"  Švedska";"Priseljeni iz tujine";"Moški";10
"2016";"  Švedska";"Priseljeni iz tujine";"Ženske";4
"2016";"  Švica";"Priseljeni iz tujine";"Moški";9
"2016";"  Švica";"Priseljeni iz tujine";"Ženske";5
"2016";"  Ukrajina";"Priseljeni iz tujine";"Moški";158
