"Povpreène meseène bruto plaèe (EUR) po dejavnosti (SKD 2008), doseženi izobrazbi in spolu, Slovenija, letno"

"SKD DEJAVNOST";"DOSEŽENA IZOBRAZBA";"SPOL";"LETO";Povpreène meseène bruto plaèe (EUR, SKD 2008)
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Ženske";"2018";1898
"B RUDARSTVO";"Osnovnošolska ali manj";"Moški";"2010";1353
"B RUDARSTVO";"Osnovnošolska ali manj";"Moški";"2011";1389
"B RUDARSTVO";"Osnovnošolska ali manj";"Moški";"2012";1404
"B RUDARSTVO";"Osnovnošolska ali manj";"Moški";"2013";1369
"B RUDARSTVO";"Osnovnošolska ali manj";"Moški";"2014";1381
"B RUDARSTVO";"Osnovnošolska ali manj";"Moški";"2015";1367
"B RUDARSTVO";"Osnovnošolska ali manj";"Moški";"2016";1420
"B RUDARSTVO";"Osnovnošolska ali manj";"Moški";"2017";1413
"B RUDARSTVO";"Osnovnošolska ali manj";"Moški";"2018";1530
"B RUDARSTVO";"Osnovnošolska ali manj";"Ženske";"2010";943
"B RUDARSTVO";"Osnovnošolska ali manj";"Ženske";"2011";1002
"B RUDARSTVO";"Osnovnošolska ali manj";"Ženske";"2012";921
"B RUDARSTVO";"Osnovnošolska ali manj";"Ženske";"2013";1151
"B RUDARSTVO";"Osnovnošolska ali manj";"Ženske";"2014";1147
"B RUDARSTVO";"Osnovnošolska ali manj";"Ženske";"2015";1195
"B RUDARSTVO";"Osnovnošolska ali manj";"Ženske";"2016";1228
"B RUDARSTVO";"Osnovnošolska ali manj";"Ženske";"2017";1233
"B RUDARSTVO";"Osnovnošolska ali manj";"Ženske";"2018";1240
"B RUDARSTVO";"Srednješolska";"Moški";"2010";1894
"B RUDARSTVO";"Srednješolska";"Moški";"2011";1977
"B RUDARSTVO";"Srednješolska";"Moški";"2012";2081
"B RUDARSTVO";"Srednješolska";"Moški";"2013";2004
"B RUDARSTVO";"Srednješolska";"Moški";"2014";2127
"B RUDARSTVO";"Srednješolska";"Moški";"2015";2048
"B RUDARSTVO";"Srednješolska";"Moški";"2016";2098
"B RUDARSTVO";"Srednješolska";"Moški";"2017";2189
"B RUDARSTVO";"Srednješolska";"Moški";"2018";2301
"B RUDARSTVO";"Srednješolska";"Ženske";"2010";1528
"B RUDARSTVO";"Srednješolska";"Ženske";"2011";1581
"B RUDARSTVO";"Srednješolska";"Ženske";"2012";1620
"B RUDARSTVO";"Srednješolska";"Ženske";"2013";1624
"B RUDARSTVO";"Srednješolska";"Ženske";"2014";1760
"B RUDARSTVO";"Srednješolska";"Ženske";"2015";1639
"B RUDARSTVO";"Srednješolska";"Ženske";"2016";1629
"B RUDARSTVO";"Srednješolska";"Ženske";"2017";1661
"B RUDARSTVO";"Srednješolska";"Ženske";"2018";1676
"B RUDARSTVO";"Višješolska, visokošolska";"Moški";"2010";2992
"B RUDARSTVO";"Višješolska, visokošolska";"Moški";"2011";3089
"B RUDARSTVO";"Višješolska, visokošolska";"Moški";"2012";3158
"B RUDARSTVO";"Višješolska, visokošolska";"Moški";"2013";3000
"B RUDARSTVO";"Višješolska, visokošolska";"Moški";"2014";3200
"B RUDARSTVO";"Višješolska, visokošolska";"Moški";"2015";2951
"B RUDARSTVO";"Višješolska, visokošolska";"Moški";"2016";3059
"B RUDARSTVO";"Višješolska, visokošolska";"Moški";"2017";3271
"B RUDARSTVO";"Višješolska, visokošolska";"Moški";"2018";3281
"B RUDARSTVO";"Višješolska, visokošolska";"Ženske";"2010";2146
"B RUDARSTVO";"Višješolska, visokošolska";"Ženske";"2011";2228
"B RUDARSTVO";"Višješolska, visokošolska";"Ženske";"2012";2247
"B RUDARSTVO";"Višješolska, visokošolska";"Ženske";"2013";2194
"B RUDARSTVO";"Višješolska, visokošolska";"Ženske";"2014";2302
"B RUDARSTVO";"Višješolska, visokošolska";"Ženske";"2015";2123
"B RUDARSTVO";"Višješolska, visokošolska";"Ženske";"2016";2287
"B RUDARSTVO";"Višješolska, visokošolska";"Ženske";"2017";2335
"B RUDARSTVO";"Višješolska, visokošolska";"Ženske";"2018";2446
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2010";1053
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2011";1104
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2012";1132
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2013";1156
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2014";1197
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2015";1236
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2016";1263
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2017";1304
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2018";1374
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2010";885
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2011";932
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2012";959
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2013";976
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2014";1011
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2015";1030
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2016";1038
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2017";1068
"C PREDELOVALNE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2018";1113
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Moški";"2010";1281
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Moški";"2011";1336
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Moški";"2012";1366
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Moški";"2013";1382
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Moški";"2014";1426
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Moški";"2015";1457
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Moški";"2016";1483
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Moški";"2017";1517
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Moški";"2018";1582
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Ženske";"2010";1068
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Ženske";"2011";1104
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Ženske";"2012";1128
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Ženske";"2013";1143
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Ženske";"2014";1179
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Ženske";"2015";1200
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Ženske";"2016";1211
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Ženske";"2017";1228
"C PREDELOVALNE DEJAVNOSTI";"Srednješolska";"Ženske";"2018";1267
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Moški";"2010";2677
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Moški";"2011";2722
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Moški";"2012";2728
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Moški";"2013";2666
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Moški";"2014";2706
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Moški";"2015";2742
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Moški";"2016";2760
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Moški";"2017";2765
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Moški";"2018";2819
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Ženske";"2010";2257
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Ženske";"2011";2312
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Ženske";"2012";2336
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Ženske";"2013";2321
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Ženske";"2014";2382
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Ženske";"2015";2407
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Ženske";"2016";2401
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Ženske";"2017";2380
"C PREDELOVALNE DEJAVNOSTI";"Višješolska, visokošolska";"Ženske";"2018";2407
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Moški";"2010";1479
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Moški";"2011";1519
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Moški";"2012";1580
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Moški";"2013";1591
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Moški";"2014";1567
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Moški";"2015";1571
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Moški";"2016";1589
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Moški";"2017";1568
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Moški";"2018";1594
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Ženske";"2010";1221
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Ženske";"2011";1266
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Ženske";"2012";1335
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Ženske";"2013";1340
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Ženske";"2014";1373
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Ženske";"2015";1351
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Ženske";"2016";1336
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Ženske";"2017";1333
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Osnovnošolska ali manj";"Ženske";"2018";1313
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Moški";"2010";1786
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Moški";"2011";1811
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Moški";"2012";1883
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Moški";"2013";1883
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Moški";"2014";1949
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Moški";"2015";1920
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Moški";"2016";1911
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Moški";"2017";1903
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Moški";"2018";1962
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Ženske";"2010";1604
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Ženske";"2011";1631
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Ženske";"2012";1657
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Ženske";"2013";1692
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Ženske";"2014";1712
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Ženske";"2015";1733
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Ženske";"2016";1754
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Ženske";"2017";1777
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Srednješolska";"Ženske";"2018";1817
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Moški";"2010";2909
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Moški";"2011";2966
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Moški";"2012";3033
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Moški";"2013";3073
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Moški";"2014";3181
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Moški";"2015";3121
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Moški";"2016";3170
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Moški";"2017";3196
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Moški";"2018";3328
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Ženske";"2010";2600
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Ženske";"2011";2771
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Ženske";"2012";2668
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Ženske";"2013";2747
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Ženske";"2014";2713
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Ženske";"2015";2660
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Ženske";"2016";2630
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Ženske";"2017";2703
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Višješolska, visokošolska";"Ženske";"2018";2729
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Moški";"2010";1097
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Moški";"2011";1110
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Moški";"2012";1120
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Moški";"2013";1134
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Moški";"2014";1149
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Moški";"2015";1174
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Moški";"2016";1186
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Moški";"2017";1222
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Moški";"2018";1277
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Ženske";"2010";924
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Ženske";"2011";952
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Ženske";"2012";963
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Ženske";"2013";955
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Ženske";"2014";998
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Ženske";"2015";1018
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Ženske";"2016";1022
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Ženske";"2017";1044
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osnovnošolska ali manj";"Ženske";"2018";1086
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Moški";"2010";1340
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Moški";"2011";1336
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Moški";"2012";1336
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Moški";"2013";1336
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Moški";"2014";1345
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Moški";"2015";1366
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Moški";"2016";1371
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Moški";"2017";1404
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Moški";"2018";1459
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Ženske";"2010";1366
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Ženske";"2011";1384
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Ženske";"2012";1352
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Ženske";"2013";1325
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Ženske";"2014";1376
