occ_code;occ_title;group;tot_emp;emp_prse;h_mean;a_mean;mean_prse;h_pct10;h_pct25;h_median;h_pct75;h_pct90;a_pct10;a_pct25;a_median;a_pct75;a_pct90;annual;hourly
11-9151;Social and community service managers;;        112330;       0.9;         28.40;         59070;           0.6;         15.61;         19.77;         26.22;         34.35;         45.10;         32480;         41120;         54530;         71450;         93810;;
11-9199;Managers, all other;;        356690;       1.8;         44.23;         91990;           0.5;         21.63;         29.67;         41.67;         55.63;#;         44980;         61720;         86680;        115710;#;;
13-0000;Business and financial operations occupations;major;       6015500;       0.3;         30.01;         62410;           0.2;         15.32;         19.88;         26.87;         36.35;         48.05;         31860;         41360;         55880;         75620;         99940;;
13-1011;Agents and business managers of artists, performers, and athletes;;         11680;       6.4;         39.77;         82730;           3.9;         14.80;         19.15;         31.94;         49.73;#;         30780;         39840;         66440;        103440;#;;
13-1021;Purchasing agents and buyers, farm products;;         12930;       3.4;         25.95;         53980;           1.3;         13.24;         17.48;         23.27;         31.08;         42.14;         27540;         36370;         48410;         64650;         87650;;
13-1022;Wholesale and retail buyers, except farm products;;        132550;       1.6;         25.76;         53580;           0.8;         13.37;         17.02;         22.58;         30.61;         41.66;         27810;         35400;         46960;         63670;         86660;;
13-1023;Purchasing agents, except wholesale, retail, and farm products;;        281950;       0.6;         26.95;         56060;           0.2;         15.66;         19.45;         25.22;         33.25;         41.76;         32580;         40460;         52460;         69170;         86860;;
13-1031;Claims adjusters, examiners, and investigators;;        279400;       1.4;         26.67;         55470;           0.4;         15.87;         19.66;         25.75;         32.69;         39.23;         33010;         40890;         53560;         68000;         81610;;
13-1032;Insurance appraisers, auto damage;;         12150;       5.5;         25.01;         52020;           0.8;         17.19;         20.55;         24.76;         29.03;         33.82;         35750;         42730;         51500;         60390;         70350;;
13-1041;Compliance officers, except agriculture, construction, health and safety, and transportation;;        231910;       0.6;         25.35;         52740;           0.3;         13.93;         17.12;         23.27;         30.99;         39.96;         28980;         35600;         48400;         64450;         83120;;
13-1051;Cost estimators;;        219070;       0.8;         28.19;         58640;           0.3;         15.61;         20.01;         26.41;         34.63;         43.92;         32470;         41610;         54920;         72020;         91350;;
13-1061;Emergency management specialists;;         11610;       2.6;         24.75;         51470;           0.7;         12.66;         17.21;         23.26;         31.11;         39.63;         26340;         35790;         48380;         64710;         82440;;
13-1071;Employment, recruitment, and placement specialists;;        193620;       1.5;         25.34;         52710;           0.9;         13.15;         16.36;         21.34;         29.85;         41.06;         27340;         34030;         44380;         62100;         85410;;
13-1072;Compensation, benefits, and job analysis specialists;;        109870;       1.1;         26.80;         55740;           0.6;         16.08;         19.68;         25.08;         31.65;         39.73;         33450;         40940;         52180;         65840;         82650;;
13-1073;Training and development specialists;;        202820;       0.7;         25.50;         53040;           0.4;         13.75;         17.95;         23.86;         31.41;         39.90;         28600;         37340;         49630;         65330;         82990;;
13-1079;Human resources, training, and labor relations specialists, all other;;        211770;       1.3;         27.28;         56740;           0.6;         13.15;         19.54;         26.10;         34.50;         43.84;         27360;         40640;         54280;         71760;         91180;;
13-1081;Logisticians;;         90340;       1.2;         31.85;         66240;           0.7;         18.40;         23.94;         30.89;         38.80;         47.44;         38280;         49790;         64250;         80700;         98680;;
13-1111;Management analysts;;        499640;       1.1;         38.68;         80460;           0.6;         19.64;         25.54;         34.21;         46.34;         63.40;         40860;         53110;         71150;         96400;        131870;;
13-1121;Meeting and convention planners;;         45490;       2.0;         22.68;         47180;           0.9;         12.92;         16.30;         20.93;         27.55;         35.93;         26880;         33900;         43530;         57310;         74740;;
13-1199;Business operations specialists, all other;;       1017640;       0.7;         29.88;         62140;           0.4;         14.73;         19.98;         27.45;         37.08;         48.09;         30640;         41560;         57090;         77130;        100030;;
13-2011;Accountants and auditors;;       1115010;       0.6;         30.37;         63180;           0.3;         17.10;         21.27;         27.43;         36.07;         47.22;         35570;         44230;         57060;         75020;         98220;;
13-2021;Appraisers and assessors of real estate;;         66210;       2.5;         25.14;         52290;           1.3;         12.07;         16.04;         22.18;         31.91;         42.27;         25110;         33360;         46130;         66380;         87910;;
13-2031;Budget analysts;;         62400;       1.3;         31.88;         66310;           0.4;         19.92;         24.48;         30.50;         38.36;         46.65;         41440;         50910;         63440;         79780;         97030;;
13-2041;Credit analysts;;         70890;       3.3;         30.20;         62820;           2.0;         14.82;         18.93;         26.24;         37.16;         50.89;         30820;         39370;         54580;         77290;        105850;;
13-2051;Financial analysts;;        228300;       1.8;         39.28;         81700;           0.8;         20.33;         25.55;         33.85;         45.95;         65.97;         42280;         53150;         70400;         95580;        137210;;
13-2052;Personal financial advisors;;        132460;       2.0;         42.89;         89220;           1.3;         15.91;         21.69;         32.53;         55.65;#;         33100;         45110;         67660;        115750;#;;
13-2053;Insurance underwriters;;         98920;       2.2;         28.91;         60120;           0.7;         16.13;         20.04;         26.22;         35.43;         46.03;         33550;         41690;         54530;         73700;         95740;;
13-2061;Financial examiners;;         25510;       2.4;         35.36;         73550;           1.6;         17.50;         23.20;         32.05;         45.02;         58.68;         36400;         48250;         66670;         93650;        122050;;
13-2071;Loan counselors;;         30150;       3.1;         20.19;         41990;           1.6;         12.26;         14.30;         17.57;         22.82;         30.98;         25490;         29740;         36550;         47460;         64430;;
13-2072;Loan officers;;        356990;       1.0;         30.10;         62610;           0.5;         14.59;         18.62;         25.48;         35.94;         51.03;         30340;         38740;         53000;         74750;        106130;;
13-2081;Tax examiners, collectors, and revenue agents;;         65750;       0.4;         24.76;         51510;           0.3;         13.17;         17.02;         22.56;         31.29;         41.99;         27390;         35410;         46920;         65090;         87340;;
13-2082;Tax preparers;;         61890;       5.6;         16.78;         34890;           2.6;          8.01;         10.12;         13.71;         20.38;         30.24;         16660;         21050;         28510;         42400;         62900;;
13-2099;Financial specialists, all other;;        136570;       1.9;         29.69;         61760;           0.8;         15.74;         19.99;         26.63;         36.01;         47.16;         32740;         41580;         55380;         74900;         98090;;
15-0000;Computer and mathematical occupations;major;       3191360;       0.4;         34.71;         72190;           0.3;         17.59;         24.04;         33.21;         43.87;         54.86;         36580;         50010;         69070;         91250;        114110;;
15-1011;Computer and information scientists, research;;         28720;       3.3;         48.39;        100640;           1.3;         26.89;         36.10;         47.10;         59.57;#;         55930;         75080;         97970;        123900;#;;
15-1021;Computer programmers;;        394710;       1.2;         34.62;         72010;           0.5;         18.99;         24.74;         32.73;         42.29;         52.75;         39500;         51450;         68080;         87950;        109720;;
15-1031;Computer software engineers, applications;;        495810;       1.1;         41.18;         85660;           0.4;         25.04;         31.64;         39.97;         49.38;         60.22;         52090;         65810;         83130;        102710;        125260;;
15-1032;Computer software engineers, systems software;;        349140;       1.7;         43.65;         90780;           0.4;         26.86;         33.99;         42.82;         52.56;         62.91;         55870;         70710;         89070;        109320;        130850;;
15-1041;Computer support specialists;;        525570;       0.8;         21.78;         45300;           0.3;         12.48;         15.80;         20.39;         26.30;         33.32;         25950;         32870;         42400;         54700;         69300;;
15-1051;Computer systems analysts;;        464440;       0.9;         36.48;         75890;           0.3;         21.12;         27.20;         35.14;         44.43;         54.65;         43930;         56590;         73090;         92420;        113670;;
15-1061;Database administrators;;        116340;       1.2;         33.78;         70260;           0.4;         18.70;         24.54;         32.33;         42.25;         51.37;         38890;         51040;         67250;         87870;        106860;;
15-1071;Network and computer systems administrators;;        309660;       0.8;         32.62;         67850;           0.3;         19.21;         24.24;         31.10;         39.51;         48.81;         39970;         50420;         64690;         82180;        101520;;
15-1081;Network systems and data communications analysts;;        216050;       1.1;         34.02;         70760;           0.4;         19.28;         25.06;         32.80;         41.74;         50.95;         40100;         52120;         68220;         86820;        105980;;
15-1099;Computer specialists, all other;;        182690;       1.6;         34.77;         72310;           1.0;         18.08;         25.63;         34.38;         43.72;         51.99;         37600;         53310;         71510;         90940;        108140;;
15-2011;Actuaries;;         18030;       4.5;         45.87;         95420;           1.2;         23.44;         29.80;         41.20;         57.60;#;         48750;         61980;         85690;        119820;#;;
15-2021;Mathematicians;;          3160;      10.3;         43.72;         90930;           1.9;         24.64;         32.39;         43.69;         54.71;         64.32;         51240;         67360;         90870;        113800;        133790;;
15-2031;Operations research analysts;;         58750;       1.9;         34.44;         71640;           0.7;         19.12;         24.29;         32.19;         43.06;         54.36;         39760;         50530;         66950;         89560;        113080;;
15-2041;Statisticians;;         20270;       2.1;         34.69;         72150;           1.0;         18.34;         24.29;         33.61;         44.15;         54.27;         38140;         50520;         69900;         91840;        112880;;
15-2091;Mathematical technicians;;          1080;       8.7;         23.31;         48490;           5.5;         12.54;         14.74;         18.54;         25.91;         37.45;         26090;         30660;         38560;         53900;         77890;;
15-2099;Mathematical scientists, all other;;          6930;      20.7;         29.38;         61100;           3.6;         15.32;         19.46;         25.90;         35.98;         46.85;         31860;         40480;         53860;         74840;         97440;;
17-0000;Architecture and engineering occupations;major;       2486020;       0.6;         33.11;         68880;           0.2;         16.88;         22.91;         31.14;         41.62;         52.26;         35120;         47650;         64780;         86570;        108700;;
17-1011;Architects, except landscape and naval;;        106830;       1.8;         35.41;         73650;           0.8;         19.35;         25.01;         32.51;         42.48;         54.32;         40250;         52030;         67620;         88360;        112990;;
17-1012;Landscape architects;;         21890;       5.0;         29.93;         62250;           1.5;         17.43;         21.55;         27.68;         36.26;         45.53;         36250;         44830;         57580;         75410;         94700;;
17-1021;Cartographers and photogrammetrists;;         11460;       4.2;         26.19;         54480;           1.7;         15.57;         18.83;         24.02;         32.04;         39.92;         32380;         39170;         49970;         66630;         83020;;
17-1022;Surveyors;;         56670;       2.2;         26.18;         54450;           0.7;         13.75;         18.24;         24.82;         32.85;         40.15;         28590;         37930;         51630;         68340;         83510;;
17-2011;Aerospace engineers;;         85510;       6.1;         44.57;         92700;           0.9;         29.21;         35.33;         43.71;         53.36;         62.39;         60760;         73490;         90930;        110990;        129770;;
17-2021;Agricultural engineers;;          2480;       5.7;         33.88;         70460;           1.1;         21.64;         26.44;         32.55;         40.18;         48.72;         45020;         55000;         67710;         83580;        101340;;
17-2031;Biomedical engineers;;         15400;       5.1;         38.28;         79610;           1.4;         22.07;         27.68;         36.27;         46.52;         57.72;         45910;         57580;         75440;         96760;        120050;;
17-2041;Chemical engineers;;         28780;       2.7;         40.50;         84240;           0.9;         25.03;         31.20;         39.18;         48.55;         59.14;         52060;         64890;         81500;        100980;        123020;;
17-2051;Civil engineers;;        247370;       1.1;         36.17;         75230;           0.4;         22.32;         27.34;         34.48;         43.30;         52.45;         46420;         56870;         71710;         90070;        109100;;
17-2061;Computer hardware engineers;;         79330;       3.8;         45.32;         94270;           0.9;         26.86;         34.59;         44.16;         55.35;         66.63;         55880;         71950;         91860;        115140;        138600;;
17-2071;Electrical engineers;;        148800;       1.5;         39.47;         82090;           0.4;         24.62;         30.24;         38.10;         47.37;         58.01;         51220;         62900;         79240;         98530;        120650;;
17-2072;Electronics engineers, except computer;;        133870;       1.9;         41.13;         85550;           0.5;         25.82;         31.82;         40.07;         49.43;         60.06;         53710;         66190;         83340;        102820;        124930;;
17-2081;Environmental engineers;;         51210;       2.1;         35.97;         74820;           0.7;         21.20;         26.78;         34.78;         43.88;         52.24;         44090;         55690;         72350;         91260;        108670;;
17-2111;Health and safety engineers, except mining safety engineers and inspectors;;         24770;       2.4;         34.12;         70970;           0.5;         20.29;         26.10;         33.45;         41.66;         49.66;         42200;         54290;         69580;         86650;        103300;;
17-2112;Industrial engineers;;        204210;       1.3;         35.33;         73490;           0.3;         22.28;         27.54;         34.34;         42.38;         50.24;         46340;         57270;         71430;         88150;        104490;;
17-2121;Marine engineers and naval architects;;          6620;       8.4;         37.60;         78200;           1.8;         23.04;         28.69;         36.64;         44.98;         55.05;         47920;         59680;         76200;         93560;        114490;;
17-2131;Materials engineers;;         21910;       2.8;         37.90;         78840;           0.8;         22.66;         28.90;         37.10;         46.13;         55.92;         47140;         60110;         77170;         95940;        116320;;
17-2141;Mechanical engineers;;        222330;       1.6;         36.12;         75130;           0.4;         22.38;         27.60;         34.76;         43.59;         52.28;         46560;         57400;         72300;         90670;        108740;;
17-2151;Mining and geological engineers, including mining safety engineers;;          7150;      12.9;         38.23;         79520;           2.6;         21.48;         27.41;         35.74;         45.97;         61.36;         44690;         57010;         74330;         95620;        127620;;
17-2161;Nuclear engineers;;         14300;       8.8;         46.70;         97130;           1.6;         31.95;         38.30;         45.40;         53.80;         63.79;         66460;         79650;         94420;        111900;        132690;;
17-2171;Petroleum engineers;;         16060;       4.8;         54.75;        113890;           2.4;         28.29;         37.24;         49.98;         68.11;#;         58840;         77460;        103960;        141670;#;;
17-2199;Engineers, all other;;        169950;       3.2;         41.07;         85430;           0.5;         22.90;         31.33;         40.99;         50.46;         60.67;         47630;         65170;         85260;        104960;        126180;;
17-3011;Architectural and civil drafters;;        111460;       1.7;         21.77;         45280;           0.6;         13.31;         16.60;         20.82;         25.93;         31.28;         27680;         34540;         43310;         53940;         65050;;
17-3012;Electrical and electronics drafters;;         32350;       2.3;         24.86;         51710;           0.6;         14.66;         18.48;         23.68;         30.28;         37.27;         30490;         38430;         49250;         62980;         77530;;
17-3013;Mechanical drafters;;         74260;       2.2;         22.45;         46690;           0.6;         13.72;         16.97;         21.51;         27.10;         32.75;         28540;         35290;         44740;         56370;         68120;;
17-3019;Drafters, all other;;         23280;       3.2;         22.76;         47340;           1.6;         13.50;         16.75;         21.49;         28.07;         34.75;         28090;         34850;         44690;         58390;         72280;;
17-3021;Aerospace engineering and operations technicians;;          7870;       7.7;         27.30;         56780;           1.6;         18.43;         22.02;         26.41;         31.75;         37.86;         38330;         45810;         54930;         66040;         78750;;
17-3022;Civil engineering technicians;;         88030;       1.5;         21.10;         43890;           0.7;         12.21;         15.64;         20.47;         26.14;         31.26;         25390;         32540;         42580;         54370;         65010;;
17-3023;Electrical and electronic engineering technicians;;        162460;       1.4;         25.23;         52470;           0.4;         15.06;         19.52;         25.07;         29.98;         36.50;         31310;         40590;         52140;         62350;         75910;;
17-3024;Electro-mechanical technicians;;         15730;       4.4;         23.14;         48120;           1.1;         14.81;         17.96;         22.41;         28.08;         33.85;         30800;         37360;         46610;         58400;         70400;;
17-3025;Environmental engineering technicians;;         21970;       4.0;         20.95;         43570;           0.9;         12.19;         15.08;         19.56;         25.38;         32.50;         25360;         31370;         40690;         52780;         67590;;
17-3026;Industrial engineering technicians;;         74930;       2.4;         24.72;         51410;           1.3;         14.97;         18.06;         22.83;         29.52;         37.99;         31130;         37560;         47490;         61400;         79020;;
17-3027;Mechanical engineering technicians;;         46230;       2.4;         23.70;         49290;           0.6;         14.88;         18.21;         22.73;         28.40;         34.68;         30960;         37880;         47280;         59080;         72130;;
17-3029;Engineering technicians, except drafters, all other;;         78140;       2.4;         26.80;         55730;           0.7;         15.21;         20.62;         26.95;         32.86;         38.41;         31630;         42900;         56060;         68340;         79900;;
17-3031;Surveying and mapping technicians;;         72410;       1.7;         17.26;         35900;           0.6;          9.94;         12.58;         16.17;         21.13;         26.65;         20670;         26170;         33640;         43940;         55440;;
19-0000;Life, physical, and social science occupations;major;       1255670;       0.7;         29.82;         62020;           0.4;         14.38;         19.00;         26.59;         37.34;         50.00;         29920;         39520;         55300;         77660;        104000;;
19-1011;Animal scientists;;          4210;       9.2;         26.10;         54290;           2.5;         15.34;         18.49;         23.25;         30.53;         41.52;         31900;         38470;         48360;         63500;         86370;;
19-1012;Food scientists and technologists;;          9910;       5.9;         30.09;         62580;           1.6;         15.43;         19.53;         27.82;         38.09;         49.03;         32090;         40620;         57870;         79230;        101970;;
19-1013;Soil and plant scientists;;         10270;       5.1;         30.28;         62970;           2.4;         16.65;         21.08;         27.89;         36.19;         48.46;         34620;         43840;         58000;         75270;        100800;;
19-1021;Biochemists and biophysicists;;         19490;       5.8;         41.01;         85290;           1.7;         20.52;         27.54;         38.11;         50.29;         65.34;         42670;         57280;         79270;        104600;        135910;;
19-1022;Microbiologists;;         14610;       3.1;         31.94;         66430;           1.8;         17.87;         22.13;         29.17;         39.40;         50.19;         37180;         46030;         60680;         81960;        104390;;
19-1023;Zoologists and wildlife biologists;;         17830;       4.9;         28.11;         58480;           1.4;         16.59;         20.75;         26.49;         33.77;         43.12;         34500;         43160;         55100;         70230;         89690;;
19-1029;Biological scientists, all other;;         27070;       1.9;         31.85;         66240;           1.0;         17.64;         24.01;         30.45;         37.64;         47.39;         36700;         49940;         63340;         78290;         98570;;
19-1031;Conservation scientists;;         16570;       2.7;         27.51;         57220;           0.8;         15.74;         20.48;         27.00;         33.74;         39.46;         32750;         42590;         56150;         70180;         82080;;
19-1032;Foresters;;         10510;       4.8;         25.98;         54030;           0.7;         16.63;         20.29;         25.21;         30.60;         36.89;         34590;         42200;         52440;         63650;         76740;;
19-1041;Epidemiologists;;          3960;       4.5;         30.58;         63600;           1.1;         19.30;         23.17;         28.85;         36.00;         44.48;         40140;         48190;         60010;         74890;         92530;;
19-1042;Medical scientists, except epidemiologists;;         87440;       3.6;         35.65;         74160;           1.6;         17.66;         22.37;         30.87;         44.21;         59.85;         36730;         46530;         64200;         91950;        124480;;
19-1099;Life scientists, all other;;         12470;       4.6;         32.18;         66930;           1.7;         16.84;         21.25;         28.37;         39.34;         53.97;         35020;         44190;         59010;         81830;        112270;;
19-2011;Astronomers;;          1520;       8.2;         47.21;         98200;           2.7;         21.39;         30.56;         47.61;         63.28;#;         44490;         63570;         99020;        131620;#;;
19-2012;Physicists;;         13980;       5.7;         48.03;         99900;           1.4;         24.94;         35.45;         46.56;         59.43;#;         51870;         73730;         96850;        123610;#;;
19-2021;Atmospheric and space scientists;;          8750;       4.9;         37.96;         78960;           3.2;         17.80;         24.96;         37.69;         47.35;         59.24;         37030;         51920;         78390;         98490;        123230;;
19-2031;Chemists;;         79860;       2.1;         32.94;         68520;           0.6;         17.70;         22.62;         30.52;         41.33;         52.22;         36810;         47050;         63490;         85960;        108610;;
19-2032;Materials scientists;;          9740;       8.4;         37.47;         77930;           1.4;         20.76;         27.42;         36.62;         46.79;         57.36;         43180;         57020;         76160;         97330;        119300;;
19-2041;Environmental scientists and specialists, including health;;         80070;       2.9;         30.71;         63870;           1.2;         17.13;         21.35;         28.07;         37.32;         47.75;         35630;         44410;         58380;         77630;         99320;;
19-2042;Geoscientists, except hydrologists and geographers;;         31390;       3.7;         40.43;         84100;           1.4;         19.72;         25.59;         36.44;         50.98;         69.45;         41020;         53240;         75800;        106030;        144450;;
19-2043;Hydrologists;;          7670;       4.9;         33.77;         70250;           1.2;         20.41;         25.23;         32.76;         41.32;         48.69;         42450;         52480;         68140;         85950;        101270;;
19-2099;Physical scientists, all other;;         23300;       2.5;         42.41;         88210;           1.8;         21.30;         30.53;         42.15;         54.38;         64.62;         44310;         63500;         87660;        113120;        134420;;
19-3011;Economists;;         12740;       3.1;         41.68;         86700;           2.4;         20.93;         27.89;         38.57;         51.06;         67.82;         43540;         58010;         80220;        106200;        141070;;
19-3021;Market research analysts;;        220740;       1.1;         32.20;         66980;           0.8;         16.01;         20.84;         28.99;         41.23;         54.51;         33310;         43340;         60300;         85760;        113390;;
19-3022;Survey researchers;;         22140;       4.3;         20.62;         42880;           2.6;          8.29;         10.82;         17.70;         26.97;         37.52;         17240;         22500;         36820;         56090;         78040;;
19-3031;Clinical, counseling, and school psychologists;;         95120;       1.5;         32.76;         68150;           1.2;         17.93;         23.04;         29.91;         38.61;         50.25;         37300;         47910;         62210;         80320;        104520;;
19-3032;Industrial-organizational psychologists;;          1240;      18.4;         41.64;         86610;           7.3;         18.71;         27.33;         38.85;         53.45;         65.79;         38910;         56840;         80820;        111180;        136840;;
19-3039;Psychologists, all other;;          9470;       4.4;         40.20;         83610;           3.1;         17.40;         27.31;         38.26;         47.07;         61.84;         36200;         56800;         79570;         97910;        128630;;
19-3041;Sociologists;;          3680;       9.9;         32.37;         67330;           2.6;         17.66;         21.88;         29.39;         39.85;         52.06;         36740;         45520;         61140;         82890;        108280;;
19-3051;Urban and regional planners;;         35040;       1.9;         29.08;         60480;           0.6;         17.76;         22.00;         27.87;         35.15;         42.59;         36950;         45750;         57970;         73110;         88590;;
19-3091;Anthropologists and archeologists;;          5250;       6.4;         26.68;         55490;           1.6;         14.97;         18.48;         25.52;         33.31;         40.74;         31130;         38440;         53080;         69290;         84740;;
19-3092;Geographers;;          1010;       3.9;         31.94;         66440;           1.4;         19.39;         24.69;         31.58;         39.14;         46.69;         40330;         51350;         65690;         81410;         97120;;
19-3093;Historians;;          3600;       6.7;         26.26;         54630;           3.0;         11.81;         15.73;         24.42;         35.64;         45.16;         24560;         32710;         50790;         74130;         93930;;
19-3094;Political scientists;;          3940;       6.6;         43.29;         90050;           3.7;         18.25;         28.45;         44.03;         56.88;         68.29;         37960;         59180;         91580;        118310;        142040;;
19-3099;Social scientists and related workers, all other;;         30410;       2.1;         33.52;         69720;           1.2;         18.35;         24.88;         32.31;         40.83;         49.48;         38170;         51750;         67200;         84920;        102920;;
19-4011;Agricultural and food science technicians;;         19280;       3.9;         17.08;         35520;           1.0;         10.49;         12.97;         16.17;         20.11;         24.77;         21810;         26970;         33630;         41830;         51510;;
19-4021;Biological technicians;;         69110;       2.6;         19.35;         40240;           0.6;         11.71;         14.40;         18.18;         23.28;         29.21;         24360;         29950;         37810;         48420;         60770;;
19-4031;Chemical technicians;;         64450;       2.3;         20.39;         42420;           0.6;         12.20;         15.29;         19.58;         24.83;         30.09;         25380;         31800;         40740;         51650;         62590;;
19-4041;Geological and petroleum technicians;;         13060;       6.0;         26.60;         55330;           4.1;         12.10;         16.50;         24.50;         33.07;         44.75;         25160;         34330;         50950;         68790;         93080;;
19-4051;Nuclear technicians;;          5920;       4.2;         31.66;         65850;           1.9;         19.48;         25.69;         31.80;         37.81;         44.53;         40520;         53430;         66140;         78650;         92630;;
19-4061;Social science research assistants;;         16070;       5.4;         18.33;         38120;           1.6;         10.55;         13.76;         17.24;         21.82;         27.88;         21940;         28630;         35870;         45390;         57990;;
