"Continent_Name","Country_Name","GU_A3"
"Asia","Korea, Democratic People's Republic of","PRK"
"Asia","Korea, Republic of","KOR"
"Asia","Kuwait, State of","KWT"
"Asia","Kyrgyz Republic","KGZ"
"Asia","Lao People's Democratic Republic","LAO"
"Asia","Lebanon, Lebanese Republic","LBN"
"Africa","Lesotho, Kingdom of","LSO"
"Europe","Latvia, Republic of","LVA"
"Africa","Liberia, Republic of","LBR"
"Africa","Libyan Arab Jamahiriya","LBY"
"Europe","Liechtenstein, Principality of","LIE"
"Europe","Lithuania, Republic of","LTU"
"Europe","Luxembourg, Grand Duchy of","LUX"
"Asia","Macao, Special Administrative Region of China","MAC"
"Africa","Madagascar, Republic of","MDG"
"Africa","Malawi, Republic of","MWI"
"Asia","Malaysia","MYS"
"Asia","Maldives, Republic of","MDV"
"Africa","Mali, Republic of","MLI"
"Europe","Malta, Republic of","MLT"
"North America","Martinique","MTQ"
"Africa","Mauritania, Islamic Republic of","MRT"
"Africa","Mauritius, Republic of","MUS"
"North America","Mexico, United Mexican States","MEX"
"Europe","Monaco, Principality of","MCO"
"Asia","Mongolia","MNG"
"Europe","Moldova, Republic of","MDA"
"Europe","Montenegro, Republic of","MNE"
"North America","Montserrat","MSR"
"Africa","Morocco, Kingdom of","MAR"
"Africa","Mozambique, Republic of","MOZ"
"Asia","Oman, Sultanate of","OMN"
"Africa","Namibia, Republic of","NAM"
"Oceania","Nauru, Republic of","NRU"
"Asia","Nepal, State of","NPL"
"Europe","Netherlands, Kingdom of the","NLD"
"North America","Netherlands Antilles","ANT"
"North America","Curaçao","CUW"
"North America","Aruba","ABW"
"North America","Sint Maarten (Netherlands)","SXM"
"North America","Bonaire, Sint Eustatius and Saba","BES"
"Oceania","New Caledonia","NCL"
"Oceania","Vanuatu, Republic of","VUT"
"Oceania","New Zealand","NZL"
"North America","Nicaragua, Republic of","NIC"
"Africa","Niger, Republic of","NER"
"Africa","Nigeria, Federal Republic of","NGA"
"Oceania","Niue","NIU"
"Oceania","Norfolk Island","NFK"
"Europe","Norway, Kingdom of","NOR"
"Oceania","Northern Mariana Islands, Commonwealth of the","MNP"
"Oceania","United States Minor Outlying Islands","UMI"
"North America","United States Minor Outlying Islands","UMI"
"Oceania","Micronesia, Federated States of","FSM"
"Oceania","Marshall Islands, Republic of the","MHL"
"Oceania","Palau, Republic of","PLW"
"Asia","Pakistan, Islamic Republic of","PAK"
"North America","Panama, Republic of","PAN"
"Oceania","Papua New Guinea, Independent State of","PNG"
"South America","Paraguay, Republic of","PRY"
"South America","Peru, Republic of","PER"
"Asia","Philippines, Republic of the","PHL"
"Oceania","Pitcairn Islands","PCN"
"Europe","Poland, Republic of","POL"
"Europe","Portugal, Portuguese Republic","PRT"
"Africa","Guinea-Bissau, Republic of","GNB"
"Asia","Timor-Leste, Democratic Republic of","TLS"
"North America","Puerto Rico, Commonwealth of","PRI"
"Asia","Qatar, State of","QAT"
"Africa","Reunion","REU"
"Europe","Romania","ROU"
"Europe","Russian Federation","RUS"
"Asia","Russian Federation","RUS"
"Africa","Rwanda, Republic of","RWA"
"North America","Saint Barthelemy","BLM"
"Africa","Saint Helena","SHN"
"North America","Saint Kitts and Nevis, Federation of","KNA"
"North America","Anguilla","AIA"
"North America","Saint Lucia","LCA"
"North America","Saint Martin","MAF"
"North America","Saint Pierre and Miquelon","SPM"
"North America","Saint Vincent and the Grenadines","VCT"
"Europe","San Marino, Republic of","SMR"
"Africa","Sao Tome and Principe, Democratic Republic of","STP"
"Asia","Saudi Arabia, Kingdom of","SAU"
"Africa","Senegal, Republic of","SEN"
"Europe","Serbia, Republic of","SRB"
"Africa","Seychelles, Republic of","SYC"
"Africa","Sierra Leone, Republic of","SLE"
"Asia","Singapore, Republic of","SGP"
"Europe","Slovakia (Slovak Republic)","SVK"
"Asia","Vietnam, Socialist Republic of","VNM"
"Europe","Slovenia, Republic of","SVN"
"Africa","Somalia, Somali Republic","SOM"
"Africa","South Africa, Republic of","ZAF"
"Africa","Zimbabwe, Republic of","ZWE"
"Europe","Spain, Kingdom of","ESP"
"Africa","South Sudan","SSD"
"Africa","Western Sahara","ESH"
"Africa","Sudan, Republic of","SDN"
"South America","Suriname, Republic of","SUR"
"Europe","Svalbard & Jan Mayen Islands","SJM"
"Africa","Swaziland, Kingdom of","SWZ"
"Europe","Sweden, Kingdom of","SWE"
"Europe","Switzerland, Swiss Confederation","CHE"
"Asia","Syrian Arab Republic","SYR"
"Asia","Tajikistan, Republic of","TJK"
"Asia","Thailand, Kingdom of","THA"
"Africa","Togo, Togolese Republic","TGO"
"Oceania","Tokelau","TKL"
"Oceania","Tonga, Kingdom of","TON"
"North America","Trinidad and Tobago, Republic of","TTO"
"Asia","United Arab Emirates","ARE"
"Africa","Tunisia, Tunisian Republic","TUN"
"Europe","Turkey, Republic of","TUR"
"Asia","Turkey, Republic of","TUR"
"Asia","Turkmenistan","TKM"
"North America","Turks and Caicos Islands","TCA"
"Oceania","Tuvalu","TUV"
"Africa","Uganda, Republic of","UGA"
"Europe","Ukraine","UKR"
"Europe","Macedonia, The Former Yugoslav Republic of","MKD"
"Africa","Egypt, Arab Republic of","EGY"
"Europe","United Kingdom of Great Britain & Northern Ireland","GBR"
"Europe","Guernsey, Bailiwick of","GGY"
"Europe","Jersey, Bailiwick of","JEY"
"Europe","Isle of Man","IMN"
"Africa","Tanzania, United Republic of","TZA"
"North America","United States of America","USA"
"North America","United States Virgin Islands","VIR"
"Africa","Burkina Faso","BFA"
"South America","Uruguay, Eastern Republic of","URY"
"Asia","Uzbekistan, Republic of","UZB"
"South America","Venezuela, Bolivarian Republic of","VEN"
"Oceania","Wallis and Futuna","WLF"
"Oceania","Samoa, Independent State of","WSM"
"Asia","Yemen","YEM"
"Africa","Zambia, Republic of","ZMB"
"Oceania","Disputed Territory",NA
"Asia","Iraq-Saudi Arabia Neutral Zone",NA
"Asia","United Nations Neutral Zone",NA
"Asia","Spratly Islands",NA
