"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
20,208,"SVN","Slovenia",2,"Goriška",20,"Bovec","SI.SP.BO",NA,"","Opcine","Commune|Municipality","",""
21,208,"SVN","Slovenia",2,"Goriška",21,"Brda","SI.SP.BR",NA,"","Opcine","Commune|Municipality","",""
22,208,"SVN","Slovenia",2,"Goriška",22,"Cerkno","SI.SP.CE",NA,"","Opcine","Commune|Municipality","",""
23,208,"SVN","Slovenia",2,"Goriška",23,"Idrija","SI.SP.ID",NA,"","Opcine","Commune|Municipality","",""
24,208,"SVN","Slovenia",2,"Goriška",24,"Kanal","SI.SP.KA",NA,"","Opcine","Commune|Municipality","",""
25,208,"SVN","Slovenia",2,"Goriška",25,"Kobarid","SI.SP.KO",NA,"","Opcine","Commune|Municipality","",""
26,208,"SVN","Slovenia",2,"Goriška",26,"Miren-Kostanjevica","SI.SP.MK",NA,"","Opcine","Commune|Municipality","",""
27,208,"SVN","Slovenia",2,"Goriška",27,"Nova Gorica","SI.SP.NG",NA,"","Opcine","Commune|Municipality","",""
28,208,"SVN","Slovenia",2,"Goriška",28,"Tolmin","SI.SP.TO",NA,"","Opcine","Commune|Municipality","",""
29,208,"SVN","Slovenia",2,"Goriška",29,"Vipava","SI.SP.VI",NA,"","Opcine","Commune|Municipality","",""
30,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",30,"Šentjernej","SI.DO.SN",NA,"","Opcine","Commune|Municipality","",""
31,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",31,"Škocjan","SI.DO.SK",NA,"","Opcine","Commune|Municipality","",""
32,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",32,"Žužemberk","SI.DO.ZU",NA,"","Opcine","Commune|Municipality","",""
33,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",33,"Crnomelj","SI.DO.CR",NA,"","Opcine","Commune|Municipality","",""
34,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",34,"Dolenjske Toplice","SI.DO.DT",NA,"","Opcine","Commune|Municipality","",""
35,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",35,"Kocevje","SI.LJ.KC",NA,"","Opcine","Commune|Municipality","",""
36,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",36,"Kostel","SI.LJ.KS",NA,"","Opcine","Commune|Municipality","",""
37,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",37,"Loški Potok","SI.LJ.LP",NA,"","Opcine","Commune|Municipality","",""
38,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",38,"Metlika","SI.DO.ME",NA,"","Opcine","Commune|Municipality","",""
39,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",39,"Mirna Pec","SI.DO.MP",NA,"","Opcine","Commune|Municipality","",""
40,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",40,"Novo Mesto","SI.DO.NM",NA,"","Opcine","Commune|Municipality","",""
41,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",41,"Osilnica","SI.LJ.OS",NA,"","Opcine","Commune|Municipality","",""
42,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",42,"Ribnica","SI.LJ.RI",NA,"","Opcine","Commune|Municipality","",""
43,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",43,"Semic","SI.DO.SM",NA,"","Opcine","Commune|Municipality","",""
44,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",44,"Sodražica","SI.LJ.SO",NA,"","Opcine","Commune|Municipality","",""
45,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija",45,"Trebnje","SI.DO.TR",NA,"","Opcine","Commune|Municipality","",""
46,208,"SVN","Slovenia",4,"Koroška",46,"Crna na Koroškem","SI.KO.CK",NA,"","Opcine","Commune|Municipality","",""
47,208,"SVN","Slovenia",4,"Koroška",47,"Dravograd","SI.KO.DR",NA,"","Opcine","Commune|Municipality","",""
48,208,"SVN","Slovenia",4,"Koroška",48,"Mežica","SI.KO.ME",NA,"","Opcine","Commune|Municipality","",""
49,208,"SVN","Slovenia",4,"Koroška",49,"Mislinja","SI.KO.MI",NA,"","Opcine","Commune|Municipality","",""
50,208,"SVN","Slovenia",4,"Koroška",50,"Muta","SI.KO.MU",NA,"","Opcine","Commune|Municipality","",""
51,208,"SVN","Slovenia",4,"Koroška",51,"Podvelka","SI.KO.PO",NA,"","Opcine","Commune|Municipality","",""
52,208,"SVN","Slovenia",4,"Koroška",52,"Prevalje","SI.KO.PR",NA,"","Opcine","Commune|Municipality","",""
53,208,"SVN","Slovenia",4,"Koroška",53,"Radlje ob Dravi","SI.KO.RD",NA,"","Opcine","Commune|Municipality","",""
54,208,"SVN","Slovenia",4,"Koroška",54,"Ravne na Koroškem","SI.KO.RK",NA,"","Opcine","Commune|Municipality","",""
55,208,"SVN","Slovenia",4,"Koroška",55,"Ribnica na Pohorju","SI.KO.RP",NA,"","Opcine","Commune|Municipality","",""
56,208,"SVN","Slovenia",4,"Koroška",56,"Slovenj Gradec","SI.KO.SG",NA,"","Opcine","Commune|Municipality","",""
57,208,"SVN","Slovenia",4,"Koroška",57,"Vuzenica","SI.KO.VU",NA,"","Opcine","Commune|Municipality","",""
58,208,"SVN","Slovenia",5,"Notranjsko-kraška",58,"Bloke","SI.NO.BL",NA,"","Opcine","Commune|Municipality","",""
59,208,"SVN","Slovenia",5,"Notranjsko-kraška",59,"Cerknica","SI.NO.CE",NA,"","Opcine","Commune|Municipality","",""
60,208,"SVN","Slovenia",5,"Notranjsko-kraška",60,"Ilirska Bistrica","SI.NO.IB",NA,"","Opcine","Commune|Municipality","",""
61,208,"SVN","Slovenia",5,"Notranjsko-kraška",61,"Loška Dolina","SI.NO.LD",NA,"","Opcine","Commune|Municipality","",""
62,208,"SVN","Slovenia",5,"Notranjsko-kraška",62,"Pivka","SI.SP.PI",NA,"","Opcine","Commune|Municipality","",""
63,208,"SVN","Slovenia",5,"Notranjsko-kraška",63,"Postojna","SI.SP.PO",NA,"","Opcine","Commune|Municipality","",""
64,208,"SVN","Slovenia",6,"Obalno-kraška",64,"Divaca","SI.JP.DI",NA,"","Opcine","Commune|Municipality","",""
65,208,"SVN","Slovenia",6,"Obalno-kraška",65,"Hrpelje-Kozina","SI.JP.HK",NA,"","Opcine","Commune|Municipality","",""
66,208,"SVN","Slovenia",6,"Obalno-kraška",66,"Izola","SI.JP.IZ",NA,"","Opcine","Commune|Municipality","",""
67,208,"SVN","Slovenia",6,"Obalno-kraška",67,"Komen","SI.JP.KM",NA,"","Opcine","Commune|Municipality","",""
68,208,"SVN","Slovenia",6,"Obalno-kraška",68,"Koper","SI.JP.KP",NA,"","Opcine","Commune|Municipality","","Capodistria"
69,208,"SVN","Slovenia",6,"Obalno-kraška",69,"Piran","SI.JP.PI",NA,"","Opcine","Commune|Municipality","","Pirano"
70,208,"SVN","Slovenia",6,"Obalno-kraška",70,"Sežana","SI.JP.SE",NA,"","Opcine","Commune|Municipality","",""
71,208,"SVN","Slovenia",7,"Osrednjeslovenska",71,"Škofljica","SI.LJ.SK",NA,"","Opcine","Commune|Municipality","",""
72,208,"SVN","Slovenia",7,"Osrednjeslovenska",72,"Borovnica","SI.LJ.BO",NA,"","Opcine","Commune|Municipality","",""
73,208,"SVN","Slovenia",7,"Osrednjeslovenska",73,"Brezovica","SI.LJ.BR",NA,"","Opcine","Commune|Municipality","",""
74,208,"SVN","Slovenia",7,"Osrednjeslovenska",74,"Dobrepolje","SI.LJ.DB",NA,"","Opcine","Commune|Municipality","",""
75,208,"SVN","Slovenia",7,"Osrednjeslovenska",75,"Dobrova-Polhov Gradec","SI.LJ.DP",NA,"","Opcine","Commune|Municipality","","Dobrova-Horjul-Polhov Gradec"
76,208,"SVN","Slovenia",7,"Osrednjeslovenska",76,"Dol pri Ljubljani","SI.LJ.DL",NA,"","Opcine","Commune|Municipality","",""
77,208,"SVN","Slovenia",7,"Osrednjeslovenska",77,"Domžale","SI.LJ.DM",NA,"","Opcine","Commune|Municipality","",""
78,208,"SVN","Slovenia",7,"Osrednjeslovenska",78,"Grosuplje","SI.LJ.GR",NA,"","Opcine","Commune|Municipality","",""
79,208,"SVN","Slovenia",7,"Osrednjeslovenska",79,"Horjul","SI.LJ.HO",NA,"","Opcine","Commune|Municipality","",""
80,208,"SVN","Slovenia",7,"Osrednjeslovenska",80,"Ig","SI.LJ.IG",NA,"","Opcine","Commune|Municipality","",""
81,208,"SVN","Slovenia",7,"Osrednjeslovenska",81,"Ivancna Gorica","SI.LJ.IV",NA,"","Opcine","Commune|Municipality","",""
82,208,"SVN","Slovenia",7,"Osrednjeslovenska",82,"Kamnik","SI.LJ.KA",NA,"","Opcine","Commune|Municipality","",""
83,208,"SVN","Slovenia",7,"Osrednjeslovenska",83,"Komenda","SI.LJ.KM",NA,"","Opcine","Commune|Municipality","",""
84,208,"SVN","Slovenia",7,"Osrednjeslovenska",84,"Litija","SI.LJ.LI",NA,"","Opcine","Commune|Municipality","",""
85,208,"SVN","Slovenia",7,"Osrednjeslovenska",85,"Ljubljana","SI.LJ.LJ",NA,"","Opcine","Commune|Municipality","",""
86,208,"SVN","Slovenia",7,"Osrednjeslovenska",86,"Logatec","SI.LJ.LO",NA,"","Opcine","Commune|Municipality","",""
87,208,"SVN","Slovenia",7,"Osrednjeslovenska",87,"Lukovica","SI.LJ.LU",NA,"","Opcine","Commune|Municipality","",""
88,208,"SVN","Slovenia",7,"Osrednjeslovenska",88,"Medvode","SI.LJ.MD",NA,"","Opcine","Commune|Municipality","",""
89,208,"SVN","Slovenia",7,"Osrednjeslovenska",89,"Mengeš","SI.LJ.MN",NA,"","Opcine","Commune|Municipality","",""
90,208,"SVN","Slovenia",7,"Osrednjeslovenska",90,"Moravce","SI.LJ.MO",NA,"","Opcine","Commune|Municipality","",""
91,208,"SVN","Slovenia",7,"Osrednjeslovenska",91,"Trzin","SI.LJ.TR",NA,"","Opcine","Commune|Municipality","",""
92,208,"SVN","Slovenia",7,"Osrednjeslovenska",92,"Velike Lašce","SI.LJ.VL",NA,"","Opcine","Commune|Municipality","",""
93,208,"SVN","Slovenia",7,"Osrednjeslovenska",93,"Vodice","SI.LJ.VO",NA,"","Opcine","Commune|Municipality","",""
94,208,"SVN","Slovenia",7,"Osrednjeslovenska",94,"Vrhnika","SI.LJ.VR",NA,"","Opcine","Commune|Municipality","",""
95,208,"SVN","Slovenia",8,"Podravska",95,"Šentilj","SI.PD.SE",NA,"","Opcine","Commune|Municipality","",""
96,208,"SVN","Slovenia",8,"Podravska",96,"Žetale","SI.PD.ZE",NA,"","Opcine","Commune|Municipality","",""
97,208,"SVN","Slovenia",8,"Podravska",97,"Benedikt","SI.PD.BE",NA,"","Opcine","Commune|Municipality","",""
98,208,"SVN","Slovenia",8,"Podravska",98,"Cerkvenjak","SI.PD.CE",NA,"","Opcine","Commune|Municipality","",""
99,208,"SVN","Slovenia",8,"Podravska",99,"Destrnik","SI.PD.DE",NA,"","Opcine","Commune|Municipality","",""
100,208,"SVN","Slovenia",8,"Podravska",100,"Dornava","SI.PD.DO",NA,"","Opcine","Commune|Municipality","",""
101,208,"SVN","Slovenia",8,"Podravska",101,"Duplek","SI.PD.DU",NA,"","Opcine","Commune|Municipality","",""
102,208,"SVN","Slovenia",8,"Podravska",102,"Gorišnica","SI.PD.GO",NA,"","Opcine","Commune|Municipality","",""
103,208,"SVN","Slovenia",8,"Podravska",103,"Hajdina","SI.PD.HA",NA,"","Opcine","Commune|Municipality","",""
104,208,"SVN","Slovenia",8,"Podravska",104,"Hoce-Slivnica","SI.PD.HS",NA,"","Opcine","Commune|Municipality","",""
105,208,"SVN","Slovenia",8,"Podravska",105,"Juršinci","SI.PD.JU",NA,"","Opcine","Commune|Municipality","",""
106,208,"SVN","Slovenia",8,"Podravska",106,"Kidricevo","SI.PD.KI",NA,"","Opcine","Commune|Municipality","",""
107,208,"SVN","Slovenia",8,"Podravska",107,"Kungota","SI.PD.KU",NA,"","Opcine","Commune|Municipality","",""
108,208,"SVN","Slovenia",8,"Podravska",108,"Lenart","SI.PD.LE",NA,"","Opcine","Commune|Municipality","",""
109,208,"SVN","Slovenia",8,"Podravska",109,"Lovrenc na Pohorju","SI.PD.LP",NA,"","Opcine","Commune|Municipality","",""
110,208,"SVN","Slovenia",8,"Podravska",110,"Majšperk","SI.PD.MJ",NA,"","Opcine","Commune|Municipality","",""
111,208,"SVN","Slovenia",8,"Podravska",111,"Maribor","SI.PD.MB",NA,"","Opcine","Commune|Municipality","",""
112,208,"SVN","Slovenia",8,"Podravska",112,"Markovci","SI.PD.MK",NA,"","Opcine","Commune|Municipality","",""
113,208,"SVN","Slovenia",8,"Podravska",113,"Miklavž na Dravskem Polju","SI.PD.MD",NA,"","Opcine","Commune|Municipality","",""
114,208,"SVN","Slovenia",8,"Podravska",114,"Oplotnica","SI.PD.OP",NA,"","Opcine","Commune|Municipality","",""
115,208,"SVN","Slovenia",8,"Podravska",115,"Ormož","SI.PD.OR",NA,"","Opcine","Commune|Municipality","",""
116,208,"SVN","Slovenia",8,"Podravska",116,"Pesnica","SI.PD.PE",NA,"","Opcine","Commune|Municipality","",""
117,208,"SVN","Slovenia",8,"Podravska",117,"Podlehnik","SI.PD.PO",NA,"","Opcine","Commune|Municipality","",""
118,208,"SVN","Slovenia",8,"Podravska",118,"Ptuj","SI.PD.PT",NA,"","Opcine","Commune|Municipality","",""
119,208,"SVN","Slovenia",8,"Podravska",119,"Race-Fram","SI.PD.RF",NA,"","Opcine","Commune|Municipality","",""
120,208,"SVN","Slovenia",8,"Podravska",120,"Ruše","SI.PD.RU",NA,"","Opcine","Commune|Municipality","",""
121,208,"SVN","Slovenia",8,"Podravska",121,"Selnica ob Dravi","SI.PD.SD",NA,"","Opcine","Commune|Municipality","",""
122,208,"SVN","Slovenia",8,"Podravska",122,"Slovenska Bistrica","SI.PD.SB",NA,"","Opcine","Commune|Municipality","",""
123,208,"SVN","Slovenia",8,"Podravska",123,"Starše","SI.PD.ST",NA,"","Opcine","Commune|Municipality","",""
124,208,"SVN","Slovenia",8,"Podravska",124,"Sveta Ana","SI.PD.SA",NA,"","Opcine","Commune|Municipality","",""
125,208,"SVN","Slovenia",8,"Podravska",125,"Sveti Andraž v Slovenskih Goricah","SI.PD.SS",NA,"","Opcine","Commune|Municipality","",""
126,208,"SVN","Slovenia",8,"Podravska",126,"Trnovska Vas","SI.PD.TV",NA,"","Opcine","Commune|Municipality","",""
127,208,"SVN","Slovenia",8,"Podravska",127,"Videm","SI.PD.VI",NA,"","Opcine","Commune|Municipality","",""
128,208,"SVN","Slovenia",8,"Podravska",128,"Zavrc","SI.PD.ZA",NA,"","Opcine","Commune|Municipality","",""
129,208,"SVN","Slovenia",9,"Pomurska",129,"Šalovci","SI.PM.SA",NA,"","Opcine","Commune|Municipality","",""
130,208,"SVN","Slovenia",9,"Pomurska",130,"Crenšovci","SI.PM.CR",NA,"","Opcine","Commune|Municipality","",""
131,208,"SVN","Slovenia",9,"Pomurska",131,"Beltinci","SI.PM.BE",NA,"","Opcine","Commune|Municipality","",""
132,208,"SVN","Slovenia",9,"Pomurska",132,"Cankova","SI.PM.CA",NA,"","Opcine","Commune|Municipality","",""
133,208,"SVN","Slovenia",9,"Pomurska",133,"Dobrovnik","SI.PM.DO",NA,"","Opcine","Commune|Municipality","","Dobronak"
134,208,"SVN","Slovenia",9,"Pomurska",134,"Gornja Radgona","SI.PM.GR",NA,"","Opcine","Commune|Municipality","",""
135,208,"SVN","Slovenia",9,"Pomurska",135,"Gornji Petrovci","SI.PM.GP",NA,"","Opcine","Commune|Municipality","",""
136,208,"SVN","Slovenia",9,"Pomurska",136,"Grad","SI.PM.GD",NA,"","Opcine","Commune|Municipality","",""
137,208,"SVN","Slovenia",9,"Pomurska",137,"Hodoš","SI.PM.HO",NA,"","Opcine","Commune|Municipality","",""
138,208,"SVN","Slovenia",9,"Pomurska",138,"Kobilje","SI.PM.KO",NA,"","Opcine","Commune|Municipality","",""
139,208,"SVN","Slovenia",9,"Pomurska",139,"Križevci","SI.PM.KR",NA,"","Opcine","Commune|Municipality","",""
140,208,"SVN","Slovenia",9,"Pomurska",140,"Kuzma","SI.PM.KU",NA,"","Opcine","Commune|Municipality","",""
141,208,"SVN","Slovenia",9,"Pomurska",141,"Lendava","SI.PM.LE",NA,"","Opcine","Commune|Municipality","","Lendva"
142,208,"SVN","Slovenia",9,"Pomurska",142,"Ljutomer","SI.PM.LJ",NA,"","Opcine","Commune|Municipality","",""
143,208,"SVN","Slovenia",9,"Pomurska",143,"Moravske Toplice","SI.PM.MT",NA,"","Opcine","Commune|Municipality","",""
144,208,"SVN","Slovenia",9,"Pomurska",144,"Murska Sobota","SI.PM.MS",NA,"","Opcine","Commune|Municipality","",""
145,208,"SVN","Slovenia",9,"Pomurska",145,"Odranci","SI.PM.OD",NA,"","Opcine","Commune|Municipality","",""
146,208,"SVN","Slovenia",9,"Pomurska",146,"Puconci","SI.PM.PU",NA,"","Opcine","Commune|Municipality","",""
147,208,"SVN","Slovenia",9,"Pomurska",147,"Radenci","SI.PM.RD",NA,"","Opcine","Commune|Municipality","",""
148,208,"SVN","Slovenia",9,"Pomurska",148,"Razkrižje","SI.PM.RZ",NA,"","Opcine","Commune|Municipality","",""
149,208,"SVN","Slovenia",9,"Pomurska",149,"Rogašovci","SI.PM.RO",NA,"","Opcine","Commune|Municipality","",""
150,208,"SVN","Slovenia",9,"Pomurska",150,"Sveti Jurij","SI.PM.SJ",NA,"","Opcine","Commune|Municipality","",""
151,208,"SVN","Slovenia",9,"Pomurska",151,"Tišina","SI.PM.TI",NA,"","Opcine","Commune|Municipality","",""
152,208,"SVN","Slovenia",9,"Pomurska",152,"Turnišce","SI.PM.TU",NA,"","Opcine","Commune|Municipality","",""
153,208,"SVN","Slovenia",9,"Pomurska",153,"Velika Polana","SI.PM.VP",NA,"","Opcine","Commune|Municipality","",""
154,208,"SVN","Slovenia",9,"Pomurska",154,"Veržej","SI.PM.VE",NA,"","Opcine","Commune|Municipality","",""
155,208,"SVN","Slovenia",10,"Savinjska",155,"Šentjur pri Celju","SI.SA.SC",NA,"","Opcine","Commune|Municipality","",""
156,208,"SVN","Slovenia",10,"Savinjska",156,"Šmarje pri Jelšah","SI.SA.SJ",NA,"","Opcine","Commune|Municipality","",""
157,208,"SVN","Slovenia",10,"Savinjska",157,"Šmartno ob Paki","SI.SA.SP",NA,"","Opcine","Commune|Municipality","",""
158,208,"SVN","Slovenia",10,"Savinjska",158,"Šoštanj","SI.SA.SS",NA,"","Opcine","Commune|Municipality","",""
159,208,"SVN","Slovenia",10,"Savinjska",159,"Štore","SI.SA.ST",NA,"","Opcine","Commune|Municipality","",""
160,208,"SVN","Slovenia",10,"Savinjska",160,"Žalec","SI.SA.ZA",NA,"","Opcine","Commune|Municipality","",""
161,208,"SVN","Slovenia",10,"Savinjska",161,"Bistrica ob Sotli","SI.SA.BS",NA,"","Opcine","Commune|Municipality","",""
162,208,"SVN","Slovenia",10,"Savinjska",162,"Braslovce","SI.SA.BR",NA,"","Opcine","Commune|Municipality","",""
163,208,"SVN","Slovenia",10,"Savinjska",163,"Celje","SI.SA.CE",NA,"","Opcine","Commune|Municipality","",""
164,208,"SVN","Slovenia",10,"Savinjska",164,"Dobje","SI.SA.DJ",NA,"","Opcine","Commune|Municipality","",""
165,208,"SVN","Slovenia",10,"Savinjska",165,"Dobrna","SI.SA.DR",NA,"","Opcine","Commune|Municipality","",""
166,208,"SVN","Slovenia",10,"Savinjska",166,"Gornji Grad","SI.SA.GG",NA,"","Opcine","Commune|Municipality","",""
167,208,"SVN","Slovenia",10,"Savinjska",167,"Kozje","SI.SA.KO",NA,"","Opcine","Commune|Municipality","",""
168,208,"SVN","Slovenia",10,"Savinjska",168,"Laško","SI.SA.LA",NA,"","Opcine","Commune|Municipality","",""
169,208,"SVN","Slovenia",10,"Savinjska",169,"Ljubno","SI.SA.LJ",NA,"","Opcine","Commune|Municipality","",""
170,208,"SVN","Slovenia",10,"Savinjska",170,"Luce","SI.SA.LU",NA,"","Opcine","Commune|Municipality","",""
171,208,"SVN","Slovenia",10,"Savinjska",171,"Mozirje","SI.SA.MO",NA,"","Opcine","Commune|Municipality","",""
172,208,"SVN","Slovenia",10,"Savinjska",172,"Nazarje","SI.SA.NA",NA,"","Opcine","Commune|Municipality","",""
173,208,"SVN","Slovenia",10,"Savinjska",173,"Podcetrtek","SI.SA.PD",NA,"","Opcine","Commune|Municipality","",""
174,208,"SVN","Slovenia",10,"Savinjska",174,"Polzela","SI.SA.PL",NA,"","Opcine","Commune|Municipality","",""
175,208,"SVN","Slovenia",10,"Savinjska",175,"Prebold","SI.SA.PR",NA,"","Opcine","Commune|Municipality","",""
176,208,"SVN","Slovenia",10,"Savinjska",176,"Radece","SI.SA.RA",NA,"","Opcine","Commune|Municipality","",""
177,208,"SVN","Slovenia",10,"Savinjska",177,"Rogaška Slatina","SI.SA.RS",NA,"","Opcine","Commune|Municipality","",""
178,208,"SVN","Slovenia",10,"Savinjska",178,"Rogatec","SI.SA.RO",NA,"","Opcine","Commune|Municipality","",""
179,208,"SVN","Slovenia",10,"Savinjska",179,"Slovenske Konjice","SI.SA.SK",NA,"","Opcine","Commune|Municipality","",""
180,208,"SVN","Slovenia",10,"Savinjska",180,"Solcava","SI.SA.SL",NA,"","Opcine","Commune|Municipality","",""
181,208,"SVN","Slovenia",10,"Savinjska",181,"Tabor","SI.SA.TA",NA,"","Opcine","Commune|Municipality","",""
182,208,"SVN","Slovenia",10,"Savinjska",182,"Velenje","SI.SA.VE",NA,"","Opcine","Commune|Municipality","",""
183,208,"SVN","Slovenia",10,"Savinjska",183,"Vitanje","SI.SA.VI",NA,"","Opcine","Commune|Municipality","",""
184,208,"SVN","Slovenia",10,"Savinjska",184,"Vojnik","SI.SA.VO",NA,"","Opcine","Commune|Municipality","",""
185,208,"SVN","Slovenia",10,"Savinjska",185,"Vransko","SI.SA.VR",NA,"","Opcine","Commune|Municipality","",""
186,208,"SVN","Slovenia",10,"Savinjska",186,"Zrece","SI.SA.ZR",NA,"","Opcine","Commune|Municipality","",""
187,208,"SVN","Slovenia",11,"Spodnjeposavska",187,"Brežice","SI.PS.BR",NA,"","Opcine","Commune|Municipality","",""
188,208,"SVN","Slovenia",11,"Spodnjeposavska",188,"Krško","SI.PS.KR",NA,"","Opcine","Commune|Municipality","",""
189,208,"SVN","Slovenia",11,"Spodnjeposavska",189,"Sevnica","SI.PS.SE",NA,"","Opcine","Commune|Municipality","",""
190,208,"SVN","Slovenia",12,"Zasavska",190,"Hrastnik","SI.ZS.HR",NA,"","Opcine","Commune|Municipality","",""
191,208,"SVN","Slovenia",12,"Zasavska",191,"Trbovlje","SI.ZS.TR",NA,"","Opcine","Commune|Municipality","",""
192,208,"SVN","Slovenia",12,"Zasavska",192,"Zagorje ob Savi","SI.ZS.ZS",NA,"","Opcine","Commune|Municipality","",""
